 覚悟と兆し|Resolutions and Omens
 【高難度】猛き王者の咆哮|High Difficulty: The Fierce King's Roar
 【時限採取】真夜中の採岩道|Time Restriction: Mining in the Dead of Night
 【財宝の扉】氷河裂く爪|Door of Treasures: Claws that Cleave the Glacier 
 騒ぎの原因|Source of Disturbance
 噂の検証|Verifying a Rumor
 【高難度】終止符を打つために|High Difficulty: To End This 
 優しさの報酬|A Kind Reward
 幼き家守|The Young Custodian
 【時限採取】夕暮の採木道|Time Restriction: Dusk Logging 
 【時限採取】晴天の採草道|Time Restriction: Fine Weather Harvest 
 【竜力の扉】侵緑の暴虐者|Door of Dragon Force: Verdant Tyrant 
 蝕鳥たちの舞|Flight of the Ravenous Birds 
 蒼き死路|Blue Road to Death 
 病み森の番人|Guardian of the Diseased Forest
 理解への茨道|The Thorny Path to Understanding 
 老兵の大暴れ|Rampage of Old Soldiers
 鈍腕の好学者|The Inept Scholar
 侵魔の強襲|Assault of Demons
 賢者の眠る地|Where the Sage Sleeps
 侵鬼の手招き|Beckoning Demons 
 緑園のために|For the Green Garden 
 異形の二本足|Two Grotesque Feet 
 跋扈する狂獣たち|Rampaging Wild Beasts
 彷徨う傀儡|Wandering Puppets
 淀みの狂翼|Stagnant Wings 
 【高難度】再来の緑魔|High Difficulty: The Green Demon's Return
 【時限採取】雨天の採木道|Time Restriction: Logging in the Rain
 【宝飾の扉】穢れし森の宝守り|Door of Jewelry: Guarding Treasure in the Defiled Forest 
 食堂の危機|Dining Danger
 竜魔事変|Dragon Disaster
 【高難度】深淵の伏魔殿|High Difficulty: The Mayhem Abyss
 支援の対価|Equivalent Support 
 先見の明|Foresight
 【時限採取】早朝の採石道|Time Restriction: Daybreak Mining
 【時限採取】晴天の採宝道|Time Restriction: Fine Weather Treasure Hunt 
 【宝飾の扉】異形たちの挽歌|Door of Jewelry: Elegy of the Grotesque
 長考の種|Seeds of Contemplation 
 明日を担う瞳|Eyes Burdened by Tomorrow
 冷徹なる獣道|The Steady Beasts' Path
 正義の代償|Just Reparations 
 蝕みの足音|Gnawing Footsteps
 消えた足音に気付く時|When the Footsteps Fade
 隠された懇情|Concealed Kindliness 
 魔の視線|An Evil Gaze 
 スクラップ・メイカー|Scrap Maker
 いにしえの復讐鬼|Ancient Vengeance Demon
 闇獣使いの魔女|The Dark Summoner Witch
 凍て付きし業炎|Frozen Blaze 
 旧知の宿敵|An Old Enemy 
 防疫の証明|Proof of Quarantine
 【高難度】邂逅の厄災|High Difficulty: A Disastrous Encounter
 【時限採取】曇天の採掘道|Time Restriction: Cloudy Excavation
 【竜力の扉】招かれざる侵翼|Door of Dragon Force: Uninvited Wings
 弱り目に盗み目|Another Misfortune 
 悪鬼軍の青田刈り|The Fiends' Early Recruitment
 命知らずの敢行|A Reckless Action
 弱卒の憂さ晴らし|The Cowardly Soldier's Distraction 
 想いし君へ|Thinking of You
 高みの奉仕家|Serve from Above 
 日和見の魔物捕り|Waiting to Catch Monsters
 【時限採取】暮夜の採草道|Time Restriction: Evening Harvest
 騒乱の野獣たち|Rioting Beasts 
 異邦の隣人愛|Love Thy Neighbor
 武装鬼軍の奇襲|Demon Army's Surprise Attack 
 暗躍者の露払い|Expose The One in the Shadows
 【時限採取】鬼の居ぬ間の採石道|Time Restriction: Mining Free of Demons
 豪商の恩返し|The Merchant's Requital
 剣呑たる白昼夢|Dangerous Daydream 
 女番頭の憂い事|The Clerk's Misery 
 【高難度】悪しき竜軍、強襲！|High Difficulty: Evil Dragon Army, Attack! 
 行商人の気配り|The Peddler's Consideration
 自立への投資|Investing for Independence 
 睦まじき日をもう一度|Happy Days Once Again
 悪鬼中隊の進撃|The Fiend's Troops Attack
 一宿一飯の恩|In Return for a Bed and a Meal 
 【時限採取】晴天の採取道|Time Restriction: Gathering Under Clear Skies
 命知らずの命運|Reckless Fate
 絆湛えし瞳|Eyes That Speak of a Deep Bond 
 伏し迫るオーク小隊|The Orc Platoon Creeps Closer
 より所の守り人|Guard of the Base
 【時限採取】鬼の居ぬ間の採取道|Time Restriction: Gathering Before the Demons Return 
 不安の矛先|Cause of Unease
 ちいさなおねがい|A Little Favor 
 積怨の禍つ鎧|Malicious Armor
 【高難度】百鬼千魔を調伏せよ|High Difficulty: Exorcising a Hundred Ghosts and a Thousand Demons 
 真白き戦慄|The White Terror 
 いにしえの邪眼|Ancient Evil Eye 
 暗然たる森の悪夢|Nightmare of the Dark Forest 
 不撓不屈の証明|Indomitable Proof
 やるかたなき宿怨|A Bitter Old Grudge
 練磨の魁|Eager to Train 
 闇より溢れ出る異変|Something Spilling from the Darkness 
 飛んで火に入る闖入者|An Intruder in Too Deep
 最後の嘘|The Last Lie 
 霧の中に猛る狂乱|Fury in the Fog
 怪異は深き闇に潜む|Apparition Lurking in Darkness 
 不穏の先触れ|A Disturbing Portent 
 蠱惑のアジテーション|Beguiled and Agitated
 門番の矜持|The Gatekeeper's Pride 
 【時限採取】早暁の採虫道|Time Restriction: Early Dawn Bug Hunting 
 【時限採取】鬼の居ぬ間の回収道|Time Restriction: Collecting Before the Demons Return
 独りよがりの信念|Self-Righteous Conviction
 【高難度】逆襲の悪鬼軍|High Difficulty: The Demon Army Counterattacks 
 暗晦の炎|Flames of Darkness 
 徘徊する炎の影|Flickering Shadow of Flame 
 石拾うにも苦難の道程|A Difficult Journey
 真偽の判定者|Judge of Truth 
 拭えぬ心労|Unshakeable Anxiety
 行方を眩ます陽炎|Lost in the Haze 
 【時限採取】鬼の居ぬ間の採灰道|Time Restriction: Collecting Ash Before the Demons Return
 悪を断ち切る抑止力|The Power to Deter Evil
 【高難度】アッカーシェラン各地より救援要請|High Difficulty: Rescue Acre Selund
 激昂の突進|Furious Charge 
 激昂の邂逅|Furious Encounter
 激昂の死闘|Furious Deathly Battle 
 激昂の激闘|Furious Fight
 激昂の処刑人|Furious Executioner
 激昂の黒煙|Furious Black Smoke
 ダクレイム砦奪還戦|Dacreim Fortress Recapture Battle
 ジフール砦攻略戦|Jifule Fortress Capture Battle 
 霧の森の死闘|The Deathly Battle of the Forest of Mist 
 蘇りし絶望の炎|Resurrection of the Flame of Despair 
 クエスト検証用ID１|Quest Verification ID1
 クエスト検証用ID２|Quest Verification ID2
 須田テスト突発！|test
 須田テスト用納品|test
 クエスト検証用ID５|Quest Verification ID5
 須田テスト用クエスト|quest test
 クエスト検証用ID７|Quest Verification ID7
 クエスト検証用ID８|Quest Verification ID8 
 クエスト検証用ID９|Quest Verification ID9
 .GM戦闘仮組|GM combat Temp
 .ダンジョンクエスト検証用|dungeon quest verification
 執務官からの依頼|Request from an Official 
 お願いがあります|A Favor to Ask 
 増えすぎた魔物|Too Many Monsters
 魔物征伐|Subjugate Monsters 
 執務官からの頼み事|Favor for an Official
 執務官からの討伐依頼|Suppresion Order from an Official
 力試しをしてみませんか？|Why Not Test Your Strength?
 治安維持のため|Preserve Public Order
 脅威排除|Eliminate the Threat 
 レスタニア平安のため|For the Peace of Lestania
 欲しがりさんからの納品依頼|Delivery Request From An Acquisitor
 これが欲しいの！|I Want This! 
 欲しがりさんからの頼まれ事|Request From An Acquisitor 
 あれが欲しいの！|I Want That! 
 モノ好きさんからの納品依頼|Delivery Request From A Connoisseur
 備蓄のために|For Stockpiling
 モノ好きさんからの頼まれ事|Request From A Connoisseur 
 お友達からの相談|A Friend Needs Advice
 我儘娘の頼み事|Request from a Spoiled Girl
 調達を手伝って|Resupply Help
 【高難度】討伐命令|High Difficulty: Subjugation Order 
 【高難度】忌避すべき魔物|High Difficulty: Monsters to Evade 
 【高難度】覚者への試練|High Difficulty: A Trial for the Arisen
 【高難度】脅威は排除せよ|High Difficulty: Eliminate the Threat
 【高難度】平穏を脅かす者|High Difficulty: The One Who Threatens the Peace 
 【高難度】緊急討伐要請|High Difficulty: Emergency Subjugation Demand
 【高難度】討伐任務|High Difficulty: Subjugation Duty
 【高難度】覚者への挑戦状|High Difficulty: A Challenge to the Arisen 
 【高難度】緊急討伐命令|High Difficulty: Emergency Subjugation Order 
 【高難度】強者求む|High Difficulty: Searching for a Hero
 【高難度】調達のお願い|High Difficulty: Request for Provisions
 【高難度】補給のお願い|High Difficulty: Replenishment Request 
 【高難度】物資手配依頼|High Difficulty: Request to Gather Supplies
 【高難度】採取の代行|High Difficulty: Assigned to Harvesting
 【高難度】友達のために|High Difficulty: For a Friend
 【高難度】必要な物資|High Difficulty: Necessary Supplies
 【高難度】納品依頼|High Difficulty: Delivery Request
 【高難度】緊急補給要請|High Difficulty: Emergency Replenishment Demand
 【高難度】物資確保のため|High Difficulty: To Secure Supplies
 【高難度】物資調達命令|High Difficulty: Order to Provide Supplies 
 街道の安全確保|Highway Security 
 害獣駆除|Dangerous Beasts 
 周辺治安維持|On the Outskirts 
 魔物の増加傾向に関して|Growing Number of Monsters 
 白騎団　往来の安全確保|White Knights Protection of Travelers 
 白騎団　討伐任務|White Knights Elimination 
 白騎団　緊急討伐指令|White Knights Emergency Elimination 
 白翼覚者隊・駆除任務　ハイデル平原|White Wings Extermination (Hidell Plains) 
 白翼覚者隊・討伐任務　ハイデル平原|White Wings Elimination (Hidell Plains) 
 ＜エリアオーダー＞神殿近郊魔物征伐|Area Order: Temple Outskirts Demon Extermination 
 本当は自分で行くんだが――|Would've Gone There
 クラフトルーム備品補充のお願い|For the Crafting Room
 武具の手入れ用品お願い|Dents in Armor 
 クラフト材料譲ってくれよ|A Plea for Craft Materials 
 あのヒトを虜に|Capitivated
 じ、実は紛失したんです！|Actually, I Lost It! 
 我が主のために――|For a Master 
 白翼覚者隊・収集依頼　ハイデル平原|White Wings Collection (Hidell Plains)
 白翼覚者隊・納品依頼　ハイデル平原|White Wings Delivery (Hidell Plains)
 ＜エリアオーダー＞白竜神殿補給|Area Order: White Dragon Temple Resupply 
 ハンティング競争|A Hunting Competition
 周囲定期警戒|Travel Safety
 腹の具合が――|Sick in the Stomach
 内緒の儲け話|Rags to Riches 
 武者震い|Trembling with Joy 
 他地域への侵入阻止|The Hidden Land
 貴様の腕を見せてみろ|Sparring Contest 
 グリッテン砦・協力要請|Gritten Fort Cooperation
 グリッテン砦・討伐任務|Gritten Fort Elimination
 ＜エリアオーダー＞砦の征伐任務|Area Order: Fort Subjugation Mission 
 提出命令|Deadlines
 調達を手伝ってくれ|Resupplying Help 
 内緒の小金稼ぎ|The Side Job 
 知り合いの頼み|From an Acquaintance 
 私的依頼|A Personal Request 
 郷里への土産に|Souvenirs
 バートランド名産品の入手依頼|Betland Materials Request
 グリッテン砦・物資調達|Gritten Fort Collection 
 グリッテン砦・補給手配|Gritten Fort Delivery 
 ＜エリアオーダー＞グリッテン砦補給|Area Order: Gritten Fort Resupply
 怪しい視線|A Suspicious Glance
 往来の悩み|A Traveler's Lament
 水汲みもできやしない|Out of Water 
 退治するはずだったんだが|To Be Rid of Them
 ブタの仇をとって！|Vengeance for the Pig! 
 病気の原因|The Cause of Illness 
 塔から見たら――|A Sight from the Tower 
 白翼覚者隊・協力要請　ハイデル平原|White Wings Cooperation (Hidell Plains) 
 白翼覚者隊・討伐任務　ハイデル平原|White Wings Elimination (Hidell Plains) 
 ＜エリアオーダー＞ハイデル魔物征伐|Area Order: Hidell Demon Extermination 
 薬の材料を届けてください|Remedy Ingredients 
 装具修理に|Equipment Repairs
 酒の具材|Drinking Necessities 
 肥料の材料|Fertilizer Ingredients 
 誰かアレ持ってない？|Does Anyone Have This? 
 希少資材の提供依頼|In Search of Rarities
 ハイデル名産品の入手依頼|Hidell Materials Request 
 白翼覚者隊・収集依頼　ハイデル平原|White Wings Collection (Hidell Plains)
 白翼覚者隊・納品依頼　ハイデル平原|White Wings Delivery (Hidell Plains)
 ＜エリアオーダー＞ハイデル補給|Area Order: Hidell Resupply
 言いにくいのですが――|The Hard Truth 
 散歩の不安|An Uneasy Stroll 
 警備が心配だ！|The Guard's Concern
 あんなのが出たんだよ！！|Where'd That Come From?! 
 何とかせぃ|A Demand 
 商売仇|Business Rivals
 青海に潜む危機|What Lurks in the Waters 
 白翼覚者隊・協力要請　ブリア海岸|White Wings Cooperation (Breya Coast) 
 白翼覚者隊・討伐任務　ブリア海岸|White Wings Elimination (Breya Coast) 
 ＜エリアオーダー＞ブリア魔物征伐|Area Order: Breya Demon Extermination
 海竜亭の新メニューにご協力を！|For the New Menu!
 素材入荷に協力を|Safe Arrival 
 海からの宝物|A Treasure from the Sea
 あの子のために|For a Child
 潮風の品|Taste the Salt 
 備蓄が心配だ！|Storage Woes 
 ブリア名産品の入手依頼|Breya Materials Request
 白翼覚者隊・収集依頼　ブリア海岸|White Wings Collection (Breya Coast)
 白翼覚者隊・納品依頼　ブリア海岸|White Wings Delivery (Breya Coast)
 ＜エリアオーダー＞ブリア補給|Area Order: Breya Resupply 
 ある部族との密約|A Secret Agreement 
 キノザに平和を！|For Kinoza's Peace!
 魅惑のタール風呂|Bathing in Tar 
 行商人と鉱員の敵|Peddlers and Miners
 高くつくと教えてあげたいの|Costly Service 
 輝く戦技|Shining Skill
 どっから湧いてきたんだい|From Where Did They Spawn
 白翼覚者隊・協力要請　ボルド鉱山|White Wings Cooperation (Volden Mines)
 白翼覚者隊・討伐任務　ボルド鉱山|White Wings Elimination (Volden Mines)
 ＜エリアオーダー＞ボルド魔物征伐|Area Order: Volden Demon Extermination 
 鉱山は道が険しいよ|Road Blocks
 厳選素材|Careful Selection
 仕入れ仕事|Restocking 
 温泉宿の自慢料理|Famous Cuisine 
 極楽！　湯の素|Water of Paradise
 商品確保を|Securing Goods 
 ボルド名産品の入手依頼|Volden Materials Request 
 白翼覚者隊・収集依頼　ボルド鉱山|White Wings Collection (Volden Mines) 
 白翼覚者隊・納品依頼　ボルド鉱山|White Wings Delivery (Volden Mines) 
 ＜エリアオーダー＞ボルド補給|Area Order: Volden Resupply
 渓谷を覆う影|Shadow Over the Valley 
 うざいのよ|Annoyances 
 心配ごとについて|Worries
 ジンゲンの脅威|A Threat in Jingen 
 谷合いの強敵|Enemy of the Valley
 関所警備情報|Barrier Defense
 ぎっくり腰の原因|Back Pains 
 白翼覚者隊・協力要請　ダウ渓谷|White Wings Cooperation (Dowe Valley) 
 白翼覚者隊・討伐任務　ダウ渓谷|White Wings Elimination (Dowe Valley) 
 ＜エリアオーダー＞ダウ魔物征伐|Area Order: Dowe Demon Extermination 
 ジンゲンの物資手配依頼|Supplies for Jingen
 仕入れのお願い|A Plea for Stock 
 価値ある品|Worth the Price
 腰の治療薬|Back Pain Remedy 
 備えは万端に|Preparation Is Key 
 取引しない？|Refusal to Transact? 
 ダウ名産品の入手依頼|Dowe Materials Request 
 白翼覚者隊・収集依頼　ダウ渓谷|White Wings Collection (Dowe Valley)
 白翼覚者隊・納品依頼　ダウ渓谷|White Wings Delivery (Dowe Valley)
 ＜エリアオーダー＞ダウ補給|Area Order: Dowe Resupply
 リンウッド悩みの種|A Disturbance in Lynwood 
 木陰の殺気|Vengeful Shadows 
 遊びに行きたいのに！|Postponement 
 森に潜む危機|In the Forest
 まずいヤツ目撃情報|Eyewitness 
 採取の邪魔者|A Thievery 
 庭の侵入者|Fenced Off 
 白翼覚者隊・協力要請　ミスリウ森林|White Wings Cooperation (Mysree Forest) 
 白翼覚者隊・討伐任務　ミスリウ森林|White Wings Elimination (Mysree Forest) 
 ＜エリアオーダー＞ミスリウ魔物征伐|Area Order: Mysree Demon Extermination 
 森の恵み|Gift of the Forest 
 仕入れ手伝い募集|Resupply 
 内緒で宝物持ってきて！|The Secret Treasure
 合間の一杯|A Reprieve 
 料理のアクセント|Allures of a Meal
 魔法使いのおまもり|A Sorceress' Charm 
 秘薬の材料依頼|Request for Elixir Ingredients 
 白翼覚者隊・収集依頼　ミスリウ森林|White Wings Collection (Mysree Forest)
 白翼覚者隊・納品依頼　ミスリウ森林|White Wings Delivery (Mysree Forest)
 ＜エリアオーダー＞ミスリウ補給|Area Order: Mysree Resupply
 死ヌカと思ッタ！|An Inch from Death 
 仕返シシテクレ！|Avenge Me! 
 アイツら嫌イ|Loathing 
 外ノ魔物ヤっパり怖イ|Monsters Beyond
 オデ、強イ！！|Shaken!! 
 要チュウイ|A Notice 
 きけん、アブナイ|Danger, Danger 
 王ノ命令　邪魔モノ排除|Royal Orders Resolution 
 王ノ命令　別勢力ノ排除|Royal Orders Competition
 ＜エリアオーダー＞危険ノ撃退|Area Order: Defense
 王ノ好物|The King's Favorite
 アレがナイ！！|Nowhere to Be Found!!
 ヨコセ、齧るド！！|Aggression 
 ニンゲンヨケ|Human Protection 
 外ノ魔物怖イ|Monsters Beyond
 オデ、偉イ！！|Shaken!! 
 たくわえ、少ナイ|Running Out
 今日ノ王へノ捧ゲ物　小遣イアリ|Royal Offering Coin 
 今日ノ王へノ捧ゲ物　報酬アリ|Royal Offering Toll 
 ＜エリアオーダー＞ホボリック蒐集|Area Order: Hobolic Gathering
 ドラワン周辺の脅威|Threat Surrounding Drawan
 荒れ地の怪|A Wasteland Mystery
 オーク軍の斥候|Orc Scouts 
 あんにゃろう！！|That Bastard!! 
 安全な採取のために|For a Safe Harvest 
 家畜の天敵|Livestock's Natural Enemy
 討伐協力を頼む|Call for Extermination 
 白翼覚者隊・協力要請　バートランド北部|White Wings Cooperation (Northern Betland)
 白翼覚者隊・討伐任務　バートランド北部|White Wings Elimination (Northern Betland)
 ＜エリアオーダー＞ドラワン近郊魔物征伐|Area Order: Drawan Outskirts Demon Extermination 
 どうにか調達をお願いする|A Most Pressing Need 
 女房の努め|A Wife's Endeavour 
 素材採取代行探してます|Requisition Agent Required 
 外出が恐ろしくて|Afraid of the Outdoors 
 取引|A Mere Transaction 
 譲ってください|Provide This, Please 
 バートランド北部名産品の入手依頼|Northern Betland Materials Request 
 白翼覚者隊・収集依頼　バートランド北部|White Wings Collection (Northern Betland) 
 白翼覚者隊・納品依頼　バートランド北部|White Wings Delivery (Northern Betland) 
 ＜エリアオーダー＞バートランド北部補給|Area Order: Northern Betland Resupply
 苦手なアレ|Those Bothersome Things
 イチイチ戦ってらんねぇよ|No One-on-Ones 
 ああいやだいやだ|How Tiresome!
 剛の者求むッ！！|Looking for a Hero!! 
 手が空いてたら|If Your Hands are Free 
 試させて貰うわ|I'll Test You
 ゾマに安全を！|A Safe Zoma! 
 白翼覚者隊・協力要請　ザンドラ東部|White Wings Cooperation (Eastern Zandora) 
 白翼覚者隊・討伐任務　ザンドラ東部|White Wings Elimination (Eastern Zandora) 
 ＜エリアオーダー＞ザンドラ東部魔物征伐|Area Order: Eastern Zandora Demon Extermination
 ザンドラ産地品の取引|Dealing in Zandora Goods 
 素材買い取ります！|Buying Materials!
 掘り出し物ある？|Any Great Finds? 
 ゾマに活気を！|A Lively Zoma! 
 入手経路は何でもＯＫ！|However You Can Get Your Hands on It!
 ブレンドカクテル|Blend Cocktail 
 ザンドラ東部名産品の入手依頼|Eastern Zandora Materials Request
 白翼覚者隊・収集依頼　ザンドラ東部|White Wings Collection (Eastern Zandora)
 白翼覚者隊・納品依頼　ザンドラ東部|White Wings Delivery (Eastern Zandora)
 ＜エリアオーダー＞ザンドラ東部補給|Area Order: Eastern Zandora Resupply 
 退治しておくメモ|A Note on Extermination
 狩っておく獲物メモ|A Note on Protection 
 狙う獲物メモ|A Note on Treasure 
 力試しをしてみないかな|A Trial 
 我々の狩猟場|Hunting Grounds
 ミスリウ深部の生態調査依頼|Mysree Grove Wildlife Survey 
 復讐してくれよぉ！|Seeking Vengeance! 
 白翼覚者隊・協力要請　ミスリウ森林深部|White Wings Cooperation (Mysree Grove)
 白翼覚者隊・討伐任務　ミスリウ森林深部|White Wings Elimination (Mysree Grove)
 ＜エリアオーダー＞ミスリウ深部魔物征伐|Area Order: Mysree Grove Demon Extermination 
 探訪者へ|From a Reporter
 手に入れておく物メモ|A Note on Goods
 必要な物メモ|A Note on Necessities
 見つけておく物メモ|A Note to Search 
 モノ好き仲間へ|For a Friend 
 美食家の食材探し|An Epicurean Meal
 ミスリウ深部名産品の入手依頼|Mysree Grove Materials Request 
 白翼覚者隊・収集依頼　ミスリウ森林深部|White Wings Collection (Mysree Grove) 
 白翼覚者隊・納品依頼　ミスリウ森林深部|White Wings Delivery (Mysree Grove) 
 ＜エリアオーダー＞ミスリウ深部補給|Area Order: Mysree Grove Resupply
 若き覚者の標に|Mark of the Newly Arisen 
 駆除が追いつきません|Outtaken 
 ミスリウ危険ガイド|An Unfortunate Guide 
 ああ、もうまたかよ！！|That's Enough! 
 退治依頼|Extermination
 共闘依頼|Forces United
 血を纏う者|Clad in Blood
 白翼覚者隊・協力要請　ミスリウ森林|White Wings Cooperation (Mysree Forest) 
 白翼覚者隊・討伐任務　ミスリウ森林|White Wings Elimination (Mysree Forest) 
 ＜エリアオーダー＞ポーン郷近郊魔物征伐|Area Order: Pawn Cathedral Outskirts Demon Extermination 
 クラフトお悩み相談|Crafting Woes
 効率的アイテム収集|An Item Search 
 修練の材具|For a Practice 
 有用なる恵み|A Convenient Blessing
 物資不足|Low on Supplies
 癒しの助けを|Healing Assistance 
 ミスリウ名産品の入手依頼|Mysree Materials Request 
 白翼覚者隊・収集依頼　ミスリウ森林|White Wings Collection (Mysree Forest)
 白翼覚者隊・納品依頼　ミスリウ森林|White Wings Delivery (Mysree Forest)
 ＜エリアオーダー＞ポーン郷補給|Area Order: Pawn Cathedral Resupply
 すぐそこにいる敵|Imminent Threat
 錬魔注意報告|Look Out for Alchemised 
 哀れな傀儡|A Pitiful Puppet 
 ノイズの原因|The Source of the Noise
 恐るべき傀儡|A Fearsome Puppet
 錬魔警戒警報|Beware the Alchemised
 遺された脅威|A Menace Remains 
 排除すべき者|Exterminate Them 
 錬魔の兵|Alchemised Soldiers
 ＜エリアオーダー＞メルゴダ魔物征伐|Area Order: Mergoda Demon Extermination
 水薬の原料|Potion Raw Materials 
 限られたメルゴダ|Limited Mergoda
 最大限有効利用する|Taking Full Advantage
 エッセンス抽出を|Essence Extraction 
 失われし秘物|Lost Secret
 メルガンの糧|Mergan Provisions
 調達しておけよ|Have Supplies Ready
 資源の増補|Supplementing Resources
 錬成の媒介|Mediating Training 
 ＜エリアオーダー＞メルゴダ補給|Area Order: Mergoda Resupply 
 減らした方がいいね|Best to Reduce Their Numbers 
 狩っておくよ|To the Hunt
 注意して|Be Wary
 先手を打とうか|Shall We Strike First? 
 あれはどうにかしないと|To Be Taken Care Of
 掃除の敵|A Clean Sweep
 外出時の用心|Caution When Outdoors
 庵の危険|Perilous Retreat 
 力試しをしてみないかな|A Trial:
 ＜エリアオーダー＞ディナン魔物征伐|Area Order: Deenan Demon Extermination 
 そろそろ追加がいるかも|Need More, Quick!
 あったらでいいわ|A Humble Request 
 確保しといてくれない？|Won't You Get This for Me? 
 見つけたら必ず入手よ|You Have It, I'll Take It
 自給自足の心得|To Be Self-Sufficient
 エルフの薬再現|Reproducing Elven Medicine 
 エルフの武具再現|Reproducing Elven Weapons
 エルフの道具再現|Reproducing Elven Tools
 神秘の宝庫|A Mysterious Treasure
 ＜エリアオーダー＞ディナン収集|Area Order: Deenan Resupply
 うるさき者|Scoundrels 
 忌避すべき者|A Wide Berth 
 近寄るべからざる者|Come No Closer 
 禁域の小物共めッ！！！|No Trespassers!!!
 ザンドラ魔物戦闘検分|Zandora Enemy Investigation
 禁域生物の調査依頼|Investigate Wasteland Creatures
 力試しをしてみないかな|A Trial:
 禁域探訪者への連絡：敵遭遇に関して|Message for Wasteland Explorers: Enemy Encounters
 禁域探訪者への指示：敵遭遇に関して|Directions for Wasteland Explorers: Enemy Encounters 
 ＜エリアオーダー＞ザンドラ魔物征伐|Area Order: Zandora Demon Extermination
 あると良い物|Hoping for This
 興味深き物|Of Great Interest
 大いに調べ究明すべき物|Deserving Close Inspection 
 美食家のスパイス探し|An Epicure Seeks Spices
 相当のモノ好き仲間へ|For a Friend with Unusual Tastes 
 お願いがございます|A Favor to Ask 
 頼まれてくれるかい？|May I Ask A Favor? 
 禁域探訪者への連絡：取得物に関して|Message for Wasteland Explorers: About Finds 
 禁域探訪者への指示：取得物に関して|Directions for Wasteland Explorers: About Finds
 ＜エリアオーダー＞ザンドラ補給|Area Order: Zandora Resupply 
 こらしめてやってください|Teach Them a Lesson
 清潔なベッドシーツのため|For Clean Bedsheets
 火種泥棒|Set Off By a Robbery 
 花の敵討ち|Flower's Revenge 
 物資運搬路の安全確保|Securing Transport Routes
 魔赤島生物の行動調査|Investigating Bloodbane Isle Wildlife Activities 
 群れの半数|Half of the Crowd
 討伐協力依頼|Cooperate with Subjugation 
 衛生環境の維持のため|To Maintain a Clean Environment
 ＜エリアオーダー＞魔赤島魔物征伐|Area Order: Bloodbane Isle Demon Extermination 
 薬効検証のため|Investigating Medicine's Effects 
 土産の材料|Supplies for a Souvenir
 仕事終わりの一風呂|A Bath After Work
 どこにあるんだ|Where Is It
 裏マーケット需要|Back Alley Market Demand 
 調査を手伝いたくて|Wanting to Help Investigate
 魔赤島調査隊のモノ好き仲間へ|For the Bloodbane Isle Scouts With Strange Tastes
 礼はするって話だぜ|My Thanks
 魔赤島の珍味|Bloodbane Isle Delicacy
 ＜エリアオーダー＞魔赤島補給|Area Order: Bloodbane Isle Resupply
 静かな休息時間のため|For A Quiet Rest 
 歯型付きのふくらはぎ|Teeth Marks on the Calf
 散歩道での遭遇|A Run-In on the Path 
 たまには手伝ってほしい|I Could Use a Hand Sometimes 
 良心の呵責|Pang of Conscience 
 大掃除の準備|Preparing for Major Cleanup
 腰痛の原因|Cause of My Back Pain
 息抜きも必要|We All Need Rest 
 努力を無にしたくない|Efforts Shall Not Go to Waste
 ＜エリアオーダー＞魔赤島魔物征伐|Area Order: Bloodbane Isle Demon Extermination 
 自給自足も健康のため|Self-Sufficiency for Health
 余っていたらでいい|If There's Any Left Over 
 今回は仕方ねぇな|Just This Once 
 報告に添えるサンプル分|The Sample is Just as Reported 
 湿布の代用品|Substitute for a Poultice
 買い取り強化中|Buyback Prices Up
 魔赤島での楽しみ|Fun at Bloodbane Isle
 クセになる味|An Addictive Flavor
 内密に調達してほしい|Please Procure This Privately
 ＜エリアオーダー＞魔赤島補給|Area Order: Bloodbane Isle Resupply
 旅人たちへの注意勧告|A Warning to Travelers 
 洗濯物泥棒|The Laundry Thief
 ちょっと気になってさ|I've Been Wondering
 住まいを追われて|Driven From Their Homes
 木陰から飛び出すもの|Springing Out From the Shade of a Tree 
 手負いの魔物|The Wounded Demon
 不穏な視線|An Unsettled Gaze
 書物荒らしを懲らしめて|Punishment for Ransacking Books
 風の噂で|Rumors on the Wind 
 ＜エリアオーダー＞エラン魔物征伐|Area Order: Elan Demon Extermination 
 次回買い物メモ|A Shopping List for Next Time
 特製の装具|Specially Made Equipment 
 困らせたくないのに|I Don't Want to Cause Trouble
 庵の修理品|The Hermitage's Refurbished Goods
 鹿狩りの罠|A Trap for Hunting Deer
 燻製の隠し味|Smoke to Enhance the Flavor
 磨いてビーズに|Polish Into Beads
 新たな試作物|A New Prototype
 安請け合いしたみたい|Agreed Too Quickly 
 ＜エリアオーダー＞エラン補給|Area Order: Elan Resupply
 本日の記録|Today's Record 
 万が一のための駆除|Precautionary Extermination
 食糧庫を守れ！|Protect the Food Warehouse!
 仕入れの邪魔者|Hindering Restock
 食材調達の邪魔者|Hindering Food Procurement 
 思惑が外れて|Expectations Unmet 
 小さな監視人|The Little Watchman
 古兵の主張|The Veteran's Claim
 鹿が減った理由|Why the Deer Are Fewer 
 ＜エリアオーダー＞ファーラナ魔物征伐|Area Order: Farana Demon Extermination 
 ついでのおつかい|An Errand While You're Here
 負けが込んでな|A Losing Streak
 少女の探究心|A Girl's Inquisitive Mind
 美味し酒を求めて|In Search of Delicious Liquor
 取扱いの無い品|We Don't Handle Those Goods
 突然の入り用|A Sudden Need
 遠出準備|Preparing for a Trip 
