Type,Japanese,English, ,English description,Vocation,Game
Staff,フロストスパイク2,High Frigor,,An advanced form of Frigor that generates three spires of ice. The last one can serve as a stepping stone.,Sorcerer,Dragon's Dogma
Staff,サンダーケージ2,High Fulmination,,An advanced form of Fulmination that envelops the user in a more powerful and wider-ranged bolt of lightning.,Sorcerer,Dragon's Dogma
Staff,ブリザードアロー2,High Gicel,,An advanced form of Gicel that calls forth several twisting spikes of ice that thrust forward from the ground.,Sorcerer,Dragon's Dogma
Staff,バインドアンカー2,High Grapnel,,An advanced form of Grapnel that binds even large foes for a longer period of time.,Mage,Dragon's Dogma
Staff,キュアスポット2,High Halidom,,An advanced form of Halidom whose sigil persists for a longer period of time and cures a wider variety of debilitations.,Mage,Dragon's Dogma
Staff,ファイアボール2,High Ingle,,An advanced form of Ingle that looses a number of fiery projectiles that explode on contact.,Sorcerer,Dragon's Dogma
Staff,スロースポット2,High Lassitude,,"An advanced form of Lassitude that calls forth a larger, longer-lasting fog that inflicts torpor upon foes who enter.",Sorcerer,Dragon's Dogma
Staff,サンダーレイン2,High Levin,,An advanced form of Levin that smites foes with multiple lighting bolts from above.,Mystic Knight,Dragon's Dogma
Staff,ヴォルテクスレイジ2,High Maelstrom,,"An advanced form of Maelstrom that summons a larger, longer-lasting whirlwind to wreak havoc upon foes.",Sorcerer,Dragon's Dogma
Staff,ポイズンスワンプ2,High Miasma,,An advanced form of Miasma that expands the size of poisonous fog and endures for a longer period of time.,Sorcerer,Dragon's Dogma
Staff,コーリングソウル2,High Necromancy,,An advanced form of Necromancy that calls forth a larger host of spirits that assist with attack and defense for a time.,Sorcerer,Dragon's Dogma
Staff,スポイルゾーン2,High Perdition,,"An advanced form of Perdition that invokes a larger, longer lasting fog that curses foes who enter.",Magick Archer,Dragon's Dogma
Staff,ペトリファクション2,High Petrifaction,,"An advanced form of Petrifaction that invokes a larger, longer-lasting fog that turns foes who enter it to stone.",Sorcerer,Dragon's Dogma
Staff,ロックビート2,High Seism,,"An advanced form of Seism that causes even more eruptions of stone, stunning and damaging foes over a wide area.",Sorcerer,Dragon's Dogma
Staff,スティルネスウォーク2,High Silentium,,"An advanced form of Silentium that calls forth a larger aura around the user, silencing foes who enter.",Sorcerer,Dragon's Dogma
Staff,スティルネスウォーク2,High Silentium,,"An advanced form of Silentium that calls forth a larger aura around the user, silencing foes who enter.",Mage,Dragon's Dogma
Staff,サイレンズウォーク2,High Sopor,,An advanced form of Sopor that extends the effective range of the sigil and persists for a longer period of time.,Mystic Knight,Dragon's Dogma
Staff,マジックシェード2,High Spellscreen,,An advanced form of Spellscreen that enhances the user's attributes for a longer duration.,Mage,Dragon's Dogma
Staff,ディセーブルミスト2,High Voidspell,,"Invokes a magickal sigil which restores any lowered offensive or defensive attributes, and clears Petrification.",Sorcerer,Dragon's Dogma
Staff,ホーリーギフト2,Holy Affinity,,An advanced form of Holy Boon that augments the enchantment's duration as well as the recipient's Magick.,Sorcerer,Dragon's Dogma
Staff,ホーリーギフト2,Holy Affinity,,"An advanced form of Holy Boon that extends and amplifies the enchantment, as well as the recipient's Magick.",Mage,Dragon's Dogma
Shield,セントグレイス,Holy Aid,,Converts what might have been damage into Health from any blocked blows. A perfect block recovers more Health.,Mystic Knight,Dragon's Dogma
Staff,ホーリーギフト,Holy Boon,,Launches a bolt of magick that enchants an ally's weapon with holy light.,Mage,Dragon's Dogma
Shield,ホーリーエンチャント,Holy Enchanter,,Enchants the weapon of both the user and any nearby pawns with Holy light.,Mystic Knight,Dragon's Dogma
Shield,セントウォール2,Holy Fortress,,An advanced form of Holy Wall that persists for a longer period of time.,Mystic Knight,Dragon's Dogma
Shield,ゾーンオブザゴッド2,Holy Furor,,An advanced form of Holy Glare that conjures mightier beams and remains active for a longer period of time.,Mystic Knight,Dragon's Dogma
Shield,ゾーンオブザゴッド,Holy Glare,,Conjures brilliant beams of light that seek out and smite enemies within range. Decreases the party's Stamina usage. Drains Stamina upon resolution of the effect.,Mystic Knight,Dragon's Dogma
Shield,セントグレイス2,Holy Grace,,An advanced form of Holy Aid that extends the duration of the effect.,Mystic Knight,Dragon's Dogma
Staff,ホーリーギフトEX,Holy Pact,,"An advanced form of Holy Affinity that extends its duration and power, and further boosts the recipient's Magick.",Mage,Dragon's Dogma
Shield,ゾーンオブザゴッドEX,Holy Retribution,,An advanced form of Holy Furor that persists for even longer but consumes less of the user's Stamina when it ends.,Mystic Knight,Dragon's Dogma
Shield,セントウォール,Holy Wall,,Erects a broad magickal wall ahead of the currently-wielded magic shield.,Mystic Knight,Dragon's Dogma
Shield,ホーリーガード,Holycounter,,Unleashes a knockdown wave when the user blocks an attack. A perfect block conjures holy beams that seek enemies.,Mystic Knight,Dragon's Dogma
Dagger,百裂斬り2,Hundred Kisses,,"An advanced form of Scarlet  Kisses that focuses a quick flurry of slashes on a single point, allowing for more strikes.",Ranger,Dragon's Dogma
Bow,追魔弾2,Hunter Bolt,,An advanced form of Seeker Bolt that allows up to ten foes to be targeted at once.,Magick Archer,Dragon's Dogma
Staff,アイスギフト2,Ice Affinity,,"An advanced form of Ice Boon that extends and amplifies the enchantment, as well as the recipient's Magick.",Mage,Dragon's Dogma
Staff,アイスギフト,Ice Boon,,Launches a bolt of magick that enchants an ally's weapon with ice.,Mage,Dragon's Dogma
Shield,アイスエンチャント,Ice Enchanter,,Enchants the weapon of both the user and any nearby pawns with Ice.,Mystic Knight,Dragon's Dogma
Staff,アイスギフトEX,Ice Pact,,"An advanced form of Ice Affinity that extends its duration and power, and further boosts the recipient's Magick.",Mage,Dragon's Dogma
Shield,アイスガード,Icecounter,,Unleashes a knockdown wave when the user blocks an attack. A perfect block conjures a Frazil range attack.,Mystic Knight,Dragon's Dogma
Dagger,火炎衣2,Immolation,,An advanced form of Backfire that harms the user less while ablaze.,Magick Archer,Dragon's Dogma
Augment,剛力,Impact,,Improves your ability to knock down opponents | Increases knockdown . Physical attacks as well as some spells benefit.,Warrior,Dragon's Dogma
Dagger,引き寄せ2,Implicate,,An advanced form of Ensnare allowing the user to throw a snare to capture multiple targets at once.,Strider,Dragon's Dogma
Sword,魔人斬り2,Indomitable Lash,,An advances form of Savage Lash able to withstand enemy attacks whole charging to even higher levels of power.,Warrior,Dragon's Dogma
Sword,魔人突き2,Indomitable Lunge,,"An advanced form of Savage Lunge that charges with increased range, undeterred by enemy attack.",Warrior,Dragon's Dogma
Shield,ファイアガードEX,Inferno Feint,,An advanced form of Flame Riposte that further extends the duration and conjures even more fireballs.,Mystic Knight,Dragon's Dogma
Shield,ファイアエンチャントEX,Inferno Invocation,,"An advanced form of Flame Trance that is stronger, lasts longer, and further boosts the recipient's Magick.",Mystic Knight,Dragon's Dogma
Augment,守護,Inflection,,"Halves the severity of wounds you sustain whilst intoning spells | Halves the damage taken while preparing spells. (Bugged on , versions of Dark Arisen . Other versions are not affected.)",Mage,Dragon's Dogma
Staff,ファイアボール,Ingle,,"Looses a ball of fire that explodes upon contact, engulfing both the target and surrounding foes.",Mystic Knight,Dragon's Dogma
Dagger,構え直し2,Instant Reset,,"An advanced form of Reset employable even while under attack that returns the user to a neutral stance, eliminating openings caused by other actions.",Ranger,Dragon's Dogma
Augment,加護,Intervention,,"""Reduces cumulative damage when you are debilitated by the Five Archmagicks | Description is misleading; prevents debilitation from various sources, not only of Archmagick origin",Mage,Dragon's Dogma
Sword,弐段突き2,Intimate Gambit,,"An advanced form of Intimate Strike. A quick, powerful stab with good odds of stunning its victim. The user stays near the target, allowing for further blows.",Assassin,Dragon's Dogma
Sword,弐段突き,Intimate Strike,,"Delivers a quick stab and withdrawal slash without distancing user and target, allowing for further blows thereafter.",Assassin,Dragon's Dogma
Bow,仕込み軟体矢,Invasive Arrow,,"Looses an arrow that deals paltry damage, but delivers a toxin to weaken the Defenses of whatever body part it hits.",Ranger,Dragon's Dogma
Dagger,姿隠し2,Invisibility,,An advanced form of Stealth that grants invisibility for an extended duration.,Assassin,Dragon's Dogma
Bow,しじま射ち,Keen Sight,,Special sight augments the user's vision allowing them to target distant foes. Each shot requires extensive Stamina.,Assassin,Dragon's Dogma
Sword,空舞の刀身,Ladder Blade,,Offers the flat of the blade to allies as a platform to propel them aloft.,Warrior,Dragon's Dogma
Staff,スロースポット,Lassitude,,Invokes a magickal fog at a designated location that inflicts torpor upon foes who enter.,Sorcerer,Dragon's Dogma
Shield,空舞の盾2,Launchboard,,An advanced form of Springboard that launches allies to greater heights.,Assassin,Dragon's Dogma
Dagger,蹴り踏み2,Leaping Stone,,"An advanced form of Stepping Stone. Kicks forward from an extended range, then jumps off the target, high into the air.",Strider,Dragon's Dogma
Augment,脚力,Leg-Strength,,Renders your rank lighter for purpose of mobility | Decreases the effective encumbrance rank by one.,Strider,Dragon's Dogma
Staff,サンダーレイン,Levin,,Smites the enemy from abovde with tongues of lightning. Especially effective at driving foes out of hiding.,Mystic Knight,Dragon's Dogma
Core Skill,フローティング,Levitate,,"An advanced form Feather Jump that mitigates gravity's pull, enabling a gentle landing even from great heights.",Mystic Knight,Dragon's Dogma
Shield,サンダーエンチャント2,Lightning Trance,,An advanced form of Thunder Enchanter that extends and amplifies the enchantment as well as the recipient's magick. Affects entire party.,Mystic Knight,Dragon's Dogma
Augment,長命,Longevity,,Extends the limit of your Health | Increases your Health by 100.,Ranger,Dragon's Dogma
Core Skill,,Loose,,Fires equipped bow. Can execute while moving.,Ranger,Dragon's Dogma
Bow,しじま射ち2,Lyncean Sight,,An advanced form of Keen Sight that lets the user see farther and adjust the range of his or her sight as needed.,Assassin,Dragon's Dogma
Dagger,疾走2,Mad Dash,,"An advanced form of Sprint that reduces stamina consumption and extends the duration of the run. During Dash press [Jump] to jump, [Heavy Attack] to slide or [Light Attack] to cancel.",Strider,Dragon's Dogma
Staff,ヴォルテクスレイジ,Maelstrom,,Summons a whirlwind to wreak havoc upon any foes caught in its path.,Sorcerer,Dragon's Dogma
Sword,魔吸陣EX,Maelstrom Sigil,,An advanced form of Vortex Sigil with an expanded range and stronger pull.,Mystic Knight,Dragon's Dogma
Core Skill,マジックビット,Magick Agent,,An advanced form of Magick Billow. Conjures spheres of magickal energy around the user to attack encroaching enemies. Also employable from mid-air.,Mystic Knight,Dragon's Dogma
Core Skill,,Magick Billow,,Swing your staff downward to stagger the enemy. Follow-up attacks can send the enemy to the ground.,Mystic Knight,Dragon's Dogma
Core Skill,,Magick Bolt,,Launches a magick bolt from your staff. Can add elemental effect via enchantments.,Mystic Knight,Dragon's Dogma
Sword,魔撃砲,Magick Cannon,,Conjures a magickal cannon after a period of incantation. Strike the cannon to fire spellshot at foes.,Mystic Knight,Dragon's Dogma
Dagger,魔導護身陣2,Magick Rebalancer,,"An advanced form of Magick Rebuffer that boosts the beneficiary's Magick as well, save when facing the undead.",Magick Archer,Dragon's Dogma
Dagger,魔導護身陣,Magick Rebuffer,,"Plunges the blades downward to form a magick sigil that improves Magick Defenses except when facing the undead. hold the assigned button to incant, release to deploy.",Magick Archer,Dragon's Dogma
Bow,閃魔光,Magickal Flare,,Fires an arrow of magickal light to illuminate the area. The flash it creates surprises foes and damages the undead.,Magick Archer,Dragon's Dogma
Bow,閃魔光2,Magickal Gleam,,An advanced form of Magickal Flare that illuminates a broader area for a longer period of time.,Magick Archer,Dragon's Dogma
Bow,閃魔弾EX,Magickal Radiance,,An advanced form of Magickal Gleam that further extends the breadth and duration of the magickal light.,Magick Archer,Dragon's Dogma
Augment,魔襲,Magnitude,,Increases the effect when you debilitate adversaries with the Five Archmagicks | Description is misleading; only affects spells with debilitation as their primary effect. (Also bugged for some spells including Perdition .),Magick Archer,Dragon's Dogma
Dagger,盗術2,Master Thief,,An advanced form of Pilfer that lets the user steal multiple items at once and increases the chances of nabbing rare items.,Strider,Dragon's Dogma
Dagger,流し暗殺2,Masterful Kill,,"An advanced form of Easy Kill that parries and counters a blow, biting deeper than its predecessor.",Assassin,Dragon's Dogma
Bow,流星射ち,Meteor Shot,,"Looses an exceptionally fast arrow, so that one may strike before foes notice. Requires considerable Stamina.",Ranger,Dragon's Dogma
Augment,耐撃,Mettle,,"Increases the ratio of white, recoverable Health when you take damage | Increases the ratio of White Health when taking damage. | Scroll of Mettle",Augments,Dragon's Dogma
Staff,ポイズンスワンプ,Miasma,,Summons a putrid fog that poisons foes who tread into it.,Sorcerer,Dragon's Dogma
Bow,剛力射ち2,Mighty Bend,,"An advanced form of Full Bend that requires less time to nock the arrow, enabling faster successive firing.",Assassin,Dragon's Dogma
Augment,痛撃,Morbidity,,Increases cumulative damage to foes you debilitate with non-Archmagick attacks | Description is misleading; actually increases the chance to inflict a non-elemental debilitation . (Doesn't work with throwing items ).,Ranger,Dragon's Dogma
Shield,チャリオットムーブ,Moving Castle,,A quick forward lunge while guarding with a shield.,Assassin,Dragon's Dogma
Staff,コーリングソウル,Necromancy,,"Summons the souls of the departed to surround the user, assisting with attack and defense for a time.",Sorcerer,Dragon's Dogma
Bow,連魔弾EX,Ninefold Bolt,,An advanced form of Sixfold Bolt that fires yet more arrows.,Magick Archer,Dragon's Dogma
Core Skill,,Onslaught,,Continuous attacks with one-handed weapon.,Mystic Knight,Dragon's Dogma
Augment,握撃,Opportunism,,Augments your strength whilst you cling to a foe | Increases Strength whilst climbing on foes. | Scroll of Opportunism,Augments,Dragon's Dogma
Bow,扇討ち2,Pentad Shot,,An advanced form of Triad Shot that fires five arrows in a wedge pattern instead of three.,Assassin,Dragon's Dogma
Staff,スポイルゾーン,Perdition,,Invokes a magickal sigil that curses foes who enter it.,Magick Archer,Dragon's Dogma
Sword,滅衝陣,Perilous Sigil,,Draws a magick sigil that activates contact with the enemy afore activating to devastating effect.,Mystic Knight,Dragon's Dogma
Augment,堅守,Periphery,,Helps keep your footing when you block attacks with your shield | Increases ' Blocking ability ' of all shields.,Mystic Knight,Dragon's Dogma
Augment,霊賛,Perpetuation,,Causes enchantments to persist for a longer period of time | Weapon enchantments last 30% longer. No effect on other magickal enchantments.,Mage,Dragon's Dogma
Staff,ペトリファクション,Petrifaction,,Invokes a magick fog that turns foes who enter it to stone.,Sorcerer,Dragon's Dogma
Dagger,盗術,Pilfer,,"Steals items from foes caught unawares. Especially effective against foes who are sleeping, blinded, or being held by allies.",Strider,Dragon's Dogma
Bow,仕込み痺れ矢2,Plegic Arrow,,An advanced form of Blunting Arrow that strikes with added force and induces torpor with greater frequency.,Assassin,Dragon's Dogma
Sword,柄打ち2,Pommel Bash,,"An advances form of Pommel Strike. Drives the blade's hilt into the target. Though limited in range, it is capable of causing even powerful enemies to reel.",Warrior,Dragon's Dogma
Sword,柄打ち,Pommel Strike,,Lunges in while driving the hilt of the blade into the target. Though limited in range it easily stuns foes.,Warrior,Dragon's Dogma
Augment,英気,Potential,,Extends the limit of your stamina | Stamina is increased by 100.,Magick Archer,Dragon's Dogma
Sword,爆炎線EX,Powder Barrage,,An advanced form of Powder Blast that adds additional explosions and tosses its victims even higher into the air.,Assassin,Dragon's Dogma
Sword,爆炎線2,Powder Blast,,An advanced form of Powder Charge that plants a more powerful explosive that can be detonated from afar.,Assassin,Dragon's Dogma
Sword,爆炎線,Powder Charge,,Places an explosive on the ground to be detonated from afar.,Assassin,Dragon's Dogma
Augment,精密,Precision,,Keeps your arrows from flying off mark when you loose them whilst in motion | Reduces arrow spread when shooting whilst moving or strafing.,Ranger,Dragon's Dogma
Augment,胆吸,Predation,,Slightly restores Health when you deliver the killing blow to a foe | Restores 100 Health when a non-human foe is killed. | Scroll of Predation | 2 and 3,Augments,Dragon's Dogma
Augment,陰射,Preemption,,Multiplies the harm done by your attacks when targets are not in the battle stance. | (Probably bugged - sneak attacks gain a damage boost with or without this augment),Assassin,Dragon's Dogma
Augment,見極,Prescience,,"Allows you to more easily perform perfect blocks, just as foes strike | Perfect Blocking is easier. Five more frames (1/6th second) in which you can guard",Augments,Dragon's Dogma
Augment,達人,Proficiency,,Reduces the Stamina consumed when you perform a physical weapon skill | Reduces stamina used for physical melee attacks by 25%. (Does not benefit bows),Warrior,Dragon's Dogma
Augment,節約,Prolongation,,"Makes your lantern oil last longer, greatly extending its duration of use | Greatly reduces oil consumption of Lanterns . | Scroll of Prolongation",Augments,Dragon's Dogma
Bow,貫き射ち,Puncture Dart,,"Fires a shot capable of piercing multiple targets, especially effective when combined with Poison Arrows.",Assassin,Dragon's Dogma
Core Skill,早弓射ち,Quick-Loose,,Require less time to nock the next arrow.,Ranger,Dragon's Dogma
Augment,拡照,Radiance,,Radiance causes your lantern to illuminate a wider area | Causes your lantern to illuminate an area that is 20% wider.,Ranger,Dragon's Dogma
Bow,とどめ射ちEX,Reaper's Arrow,,An advanced form of Deathly Arrow that can be charged an additional level to loose an even mightier arrow.,Ranger,Dragon's Dogma
Augment,速治,Recuperation,,Hastens the speed with which you recover lost Health from curative magic and healing springs | Increases health recovery. | Scroll of Recuperation | 1 and 2,Augments,Dragon's Dogma
Core Skill,シールドカウンター,Reflect,,An advanced form of Repel that deflects attacks at the assailant.,Mystic Knight,Dragon's Dogma
Augment,治癒,Regeneration,,Causes your Health to slowly return with the passage of time | Heal one health every three seconds.,Magick Archer,Dragon's Dogma
Augment,激励,Reinforcement,,Pawns you aid temporarily take less damage from physical and Magick attacks | (verify),Mystic Knight,Dragon's Dogma
Core Skill,,Repel,,Use your Magick Shield to block an enemy's attack.,Mystic Knight,Dragon's Dogma
Dagger,構え直し,Reset,,"Returns the user to a neutral stance, eliminating openings caused by other actions.",Ranger,Dragon's Dogma
Augment,体術,Resilience,,Halves the severity of injuries you sustain from falling | Halves Fall Damage .,Magick Archer,Dragon's Dogma
Augment,抗体,Resistance,,Reduces cumulative damage when you are debilitated by non-Archmagick attacks | Description is misleading; actually greatly increases resistance to many sources debilitations including some from spells - in many cases practical immunity.,Magick Archer,Dragon's Dogma
Augment,助勢,Restoration,,Increases the amount of Health restored when rescuing Pawns | Pawns aided from Unconsciousness are revived with 25% more health . (Stacks with the Wanderlust Ring ).,Mystic Knight,Dragon's Dogma
Augment,鼓舞,Retribution,,Grants Pawns you aid a temporary gain in their Strength and Magick | Pawns you aid from Unconsciousness gain 20% greater Strength and Magick for 1 minute.,Mystic Knight,Dragon's Dogma
Bow,跳弾魔従2,Ricochet Hunter,,An advanced form of Ricochet Seeker that fires three magickal arrows.,Magick Archer,Dragon's Dogma
Bow,跳弾魔従,Ricochet Seeker,,Looses a magickal arrow that increases in power as it ricochets towards its target. Quite effective in cramped quarters.,Magick Archer,Dragon's Dogma
Core Skill,衝斬舞,Roundelay,,An advanced form of Two-Step that appends a whirling slash to victims.,Ranger,Dragon's Dogma
Sword,滅衝陣2,Ruinous Sigil,,An advanced form of Perilous Sigil that affects a larger area for a longer period of time.,Mystic Knight,Dragon's Dogma
Bow,挺身魔槍,Sacrifical Bolt,,Summons forth the ultimate magickal bolt at the cost of one pawn's life. Time slows while the user is aiming.,Magick Archer,Dragon's Dogma
Augment,心力,Sanctuary,,Improves your Defense and Magick Defense when you stand at death's door. | Description is erroneous - reduces physical damage to one health per strike at Critical Health . (no protection from magickal attacks),Mystic Knight,Dragon's Dogma
Augment,羅刹,Sanguinity,,"Increases your Health, but only at nightime | Increases health by 100 at night .",Assassin,Dragon's Dogma
Sword,魔人斬り,Savage Lash,,Channels the user's strength into a devastating hit that grows in power with the amount of time spent preparing.,Warrior,Dragon's Dogma
Sword,魔人突き,Savage Lunge,,"Charges forward with the blade extended, knocking down any caught in its path.",Warrior,Dragon's Dogma
Dagger,百裂斬り,Scarlet Kisses,,"Concentrates a flurry of slashes on a single point, easily shredding foes with meager endurance.",Ranger,Dragon's Dogma
Dagger,魔斬波,Scension,,"Imbues daggers with magick before an upward slash sends forth a shockwave. Saps foes' Health with holy power. Hold the assigned button to incant, release it to deploy.",Magick Archer,Dragon's Dogma
Bow,壁差し射ちEX,Secure Binder,,An advanced form of Body Binder that knocks its target farther back and pins the target for a longer period of time.,Ranger,Dragon's Dogma
Core Skill,,Seeker,,Fire magical arrows with additional properties.,Magick Archer,Dragon's Dogma
Bow,追魔弾,Seeker Bolt,,Fires magickal arrows that seek out their targets. Up to five foes can be targeted at once.,Magick Archer,Dragon's Dogma
Staff,ロックビート,Seism,,"Shakes the earth, sending eruptions of stone high into the air, stunning and damaging foes over a wide area.",Sorcerer,Dragon's Dogma
Dagger,影縫い,Shadowpin,,"Plunges the blades into the ground to form a magick sigil that traps enemies within its confines. Hold the assigned button to incant, release it to deploy.",Magick Archer,Dragon's Dogma
Dagger,影縫い2,Shadowshackle,,An advanced form of Shadowpin that extends the effective range of the sigil and persists for a longer period of time.,Magick Archer,Dragon's Dogma
Dagger,影縫いEX,Shadowsnare,,An advanced form of Shadowshackle that expands both the range and duration of its enemy-trapping sigil.,Magick Archer,Dragon's Dogma
Dagger,かまいたちEX,Shearing Wind,,"An advanced form of Cutting Wind that increase the attack range, the amount of strikes, and the speed of dash.",Ranger,Dragon's Dogma
Shield,盾惹き2,Shield Drum,,"An advanced form of Shield Summons that carries further, drawing the ire of more distant enemies.",Assassin,Dragon's Dogma
Shield,シールドアタックEX,Shield Slam,,An advanced form of Shield Strike that shrinks the user's window of vulnerability with a faster blow that forces the target to drop their guard.,Assassin,Dragon's Dogma
Shield,シールドアタック2,Shield Storm,,"An advanced form of Shield Strike that deploys more quickly, shrinking the user's window of vulnerability.",Assassin,Dragon's Dogma
Shield,シールドアタック,Shield Strike,,Strikes a blow with the shield that causes little damage but forces the target to drop their guard.,Assassin,Dragon's Dogma
Shield,盾惹き,Shield Summons,,Raps the shield loudly to attract the attention of nearby foes.,Assassin,Dragon's Dogma
Dagger,返し蹴りEX,Shirking Offensive,,"An advanced form of Escape Onslaught that adds additional attacks, and lashes out in every direction.",Assassin,Dragon's Dogma
Shield,威武気2,Showdown,,An advanced form of Staredown that greatly boost the user's Strength for a longer period of time.,Assassin,Dragon's Dogma
Bow,矢笛射ち2,Shriek Dart,,An advanced form of Whistle Dart that emits a louder cry to stun more enemies.,Strider,Dragon's Dogma
Staff,スティルネスウォーク,Silentium,,Invokes a magickal aura around the user that silences foes who enter.,Sorcerer,Dragon's Dogma
Staff,スティルネスウォーク,Silentium,,Invokes a magickal sigil around the user that silences foes who enter.,Mage,Dragon's Dogma
Augment,筋力,Sinew,,Grants you the energy to carry additional weight | Increases the maximum weight and encumbrance thresholds by 20kg.,Augments,Dragon's Dogma
Bow,綴れ射ち,Sixfold Arrow,,Fires six arrows in rapid succession.,Ranger,Dragon's Dogma
Bow,連魔弾2,Sixfold Bolt,,An advanced form of Threefold Bolt that fires still more arrows.,Magick Archer,Dragon's Dogma
Bow,貫き射ち2,Skewer Dart,,An advanced form of Puncture Dart that is capable of piercing even more targets and can also cancel a foe's block.,Assassin,Dragon's Dogma
Dagger,断頭台2,Skull Splitter,,An advanced form of Helm Splitter that employs a faster spin to deliver a greater number of slashes during the spinning dive.,Strider,Dragon's Dogma
Sword,空魔突,Sky Dance,,"Kicks at the air into a forward charge, delivering a powerful slash.",Mystic Knight,Dragon's Dogma
Sword,空魔突2,Sky Rapture,,An advanced form of Sky Dance that propels the user over a greater distance.,Mystic Knight,Dragon's Dogma
Dagger,毒針突2,Snakebite,,An advanced form of Spiderbite that knocks down targets after poisoning them with a more deadly venom.,Assassin,Dragon's Dogma
Dagger,蹴り踏みEX,Soaring Stone,,An advanced form of Leaping Stone that also yanks its victims into the air for a follow-up attack.,Strider,Dragon's Dogma
Staff,サイレンズウォーク,Sopor,,Invokes a magickal sigil around the user that lulls foes who enter it into slumber.,Mystic Knight,Dragon's Dogma
Sword,大輪斬,Spark Slash,,"Spins the blade in a swift circle, slashing at foes all around the user.",Warrior,Dragon's Dogma
Staff,マジックシェード,Spellscreen,,Invokes a magickal sigil around the user that enhances attributes. The user may move while the sigil is active.,Mage,Dragon's Dogma
Dagger,毒針突,Spiderbite,,"Halts the target with a swift thrust, then knocks them down after delivering a poison needle's kiss.",Assassin,Dragon's Dogma
Bow,渦巻き射ち2,Spiral Arrow,,An advanced form of Whirling Arrow that appends still more strikes to the barrage.,Ranger,Dragon's Dogma
Bow,爆ぜ射ち,Splinter Dart,,"Sends up an explosive arrow that splits in mid-air, showering the area with smaller missiles.",Strider,Dragon's Dogma
Shield,空舞の盾,Springboard,,Launches allies into the air using the shield. A supporting technique for tandem moves.,Assassin,Dragon's Dogma
Dagger,疾走,Sprint,,"Leans in and dashes forward with blades drawn, ready to perform further feats with additional commands. During Dash press [Jump] to jump, [Heavy Attack] to slide or [Light Attack] to cancel.",Strider,Dragon's Dogma
Augment,耐風,Stability,,Prevents mighty winds from hampering your mobility | Prevents stagger and knockdown from most wind buffets from creatures. (Doesn't improve movement in the Windworn Valley ).,Ranger,Dragon's Dogma
Shield,威武気,Staredown,,"Boosts the user's strength for a time, at the cost of lowered Defenses.",Assassin,Dragon's Dogma
Dagger,姿隠し,Stealth,,"Renders one invisible to enemies for a time, making the user impossible to hit.",Assassin,Dragon's Dogma
Dagger,蹴り踏み,Stepping Stone,,"Leaps forward in a flying kick, then uses the target as a foothold to jump still higher.",Strider,Dragon's Dogma
Sword,魔石柱2,Stone Forest,,An advanced form of Stone Grove that brings a greater number of stone pillars.,Mystic Knight,Dragon's Dogma
Sword,魔石柱,Stone Grove,,"Plunges the blade into the earth and channels magick into it, causing pillars of stone to erupt around the user.",Mystic Knight,Dragon's Dogma
Sword,魔石柱EX,Stone Jungle,,An advanced form of Stone Forest that generates an even greater number of stone pillars.,Mystic Knight,Dragon's Dogma
Augment,談判,Suasion,,Enables you to negotiate higher prices for items and equipment you sell | Items sell for 15% more. (Stacks with the same augment on other party members).,Sorcerer,Dragon's Dogma
Dagger,昇炎斬り,Sunburst,,"Kicking downward, plunges the blades into the earth, channeling magick so that a pillar of flame erupts directly ahead.",Magick Archer,Dragon's Dogma
Dagger,昇炎斬り2,Sunflare,,An advanced form of Sunburst that creates an even larger pillar of flame.,Magick Archer,Dragon's Dogma
Shield,チャリオットムーブ2,Swift Castle,,An advanced form of Moving Castle that advances even further forward while guarding.,Assassin,Dragon's Dogma
Core Skill,強刺し崩し,Takedown,,An advanced form of Empale that appends a tackle to a forceful jab.,Assassin,Dragon's Dogma
Core Skill,強刺し崩し,Takedown,,An advanced form of Empale that appends a tackle to a forceful jab.,Mystic Knight,Dragon's Dogma
Augment,渾身,Temerity,,Halves the damage taken while charging an attack | Works only for charged physical attacks not spells.,Warrior,Dragon's Dogma
Dagger,風まといEX,Tempest Harness,,An advanced form of Gale Harness that hastens the user's movement for an even longer period of time.,Assassin,Dragon's Dogma
Augment,根性,Tenacity,,"Grants a chance that any attack which would reduce your Health to 0 leaves you with 1 Health instead | May prevent being killed outright by attacks, with some exceptions. | Scroll of Tenacity | 2 and 3",Augments,Dragon's Dogma
Bow,綴れ射ち2,Tenfold Flurry,,An advanced form of Sixfold Arrow that fires ten arrows instead of six.,Ranger,Dragon's Dogma
Bow,剛力射ちEX,Terrible Bend,,An advanced form of Mighty Bend that further shortens the time required to nock the arrow.,Assassin,Dragon's Dogma
Dagger,百裂斬りEX,Thousand Kisses,,An advanced form of Hundred Kisses that heightens the speed and number of slashes in the flurry.,Ranger,Dragon's Dogma
Bow,連なり射ち,Threefold Arrow,,Fires Three arrows in rapid succession.,Strider,Dragon's Dogma
Bow,連なり射ち,Threefold Arrow,,Fires Three arrows in rapid succession.,Assassin,Dragon's Dogma
Bow,連魔弾,Threefold Bolt,,Fires three magickal arrows at a single target.,Magick Archer,Dragon's Dogma
Staff,サンダーギフト2,Thunder Affinity,,Lightning | An advanced form of Thunder Boon that augments the enchantment's duration as well as the recipient's Magick.,Sorcerer,Dragon's Dogma
Staff,サンダーギフト,Thunder Boon,,Launches a bolt of magick that enchants an ally's weapon with thunder.,Mage,Dragon's Dogma
