Japanese,English,english,speaker
英霊眠りし道 祠 石像の間,Epitaph Road Shrine: Statue Room,,
英霊眠りし道 祠 第三の間,Epitaph Road Shrine: 3rd Room,,
英霊眠りし道 墓所,Epitaph Road Tomb,,
英霊眠りし道 墓所 第一の間,Epitaph Road Tomb: 1st Room,,
英霊眠りし道 墓所 第四の間,Epitaph Road Tomb: 4th Room,,
英霊眠りし道 墓所 広間,Epitaph Road Tomb: Hall,,
英霊眠りし道 墓所 通路,Epitaph Road Tomb: Passage,,
英霊眠りし道 墓所 第二の間,Epitaph Road Tomb: 2nd Room,,
英霊眠りし道 墓所 石像の間,Epitaph Road Tomb: Statue Room,,
英霊眠りし道 墓所 第三の間,Epitaph Road Tomb: 3rd Room,,
英霊眠りし道 水路,Epitaph Road Waterway,,
英霊眠りし道 水路 脇道,Epitaph Road Waterway: Byway,,
英霊眠りし道 水路 第一の間,Epitaph Road Waterway: 1st Room,,
英霊眠りし道 水路 第四の間,Epitaph Road Waterway: 4th Room,,
英霊眠りし道 水路 第二の間,Epitaph Road Waterway: 2nd Room,,
英霊眠りし道 水路 石像の間,Epitaph Road Waterway: Statue Room,,
英霊眠りし道 水路 第三の間,Epitaph Road Waterway: 3rd Room,,
英霊眠りし道 水路 武神の間,Epitaph Road Waterway: War God Room,,
英霊眠りし道 井戸,Epitaph Road Well,,
英霊眠りし道 井戸 深部,Epitaph Road Well Depths,,
英霊眠りし道 井戸 入口,Epitaph Road Well: Entrance,,
英霊眠りし道 井戸 第一の間,Epitaph Road Well: 1st Room,,
英霊眠りし道 井戸 第四の間,Epitaph Road Well: 4th Room,,
英霊眠りし道 井戸 通路,Epitaph Road Well: Passage,,
英霊眠りし道 井戸 第二の間,Epitaph Road Well: 2nd Room,,
英霊眠りし道 井戸 石像の間,Epitaph Road Well: Statue Room,,
英霊眠りし道 井戸 第三の間,Epitaph Road Well: 3rd Room,,
英霊眠りし道 洞窟,Epitaph Road: Cave,,
英霊眠りし道　フェルヤナ荒原,Epitaph Road: Feryana Wilderness,,
英霊眠りし道　ラスニテ山麓,Epitaph Road: Rathnite Foothills,,
英霊眠りし道 祠,Epitaph Road: Shrine,,
ヘスター,Hester,,
ヘストン,Heston,,
ヒックス,Hicks,,
隠れ浜,Hidden Beach,,
隠れ村ピレモス,Hidden Village Piremoth,,
メガドへの隠れ水路,Hidden Waterway to Megado,,
ハイデル地下霊廟,Hidell Catacombs,,
ハイデル地下霊廟　深部,Hidell Catacombs Depths,,
ハイデル地下霊廟　最深部,Hidell Catacombs Innermost Depths,,
ハイデル教会,Hidell Church,,
ハイデル平原,Hidell Plains,,
隠れ潜むガルドリン,Hiding Gurdolin,,
ハイセプター,High Scepter,,
ヒルデ,Hilde,,
ホボリック洞穴,Hobolic Cave,,
始まりの洞,Hollow of Beginnings,,
始まりの洞　集いの間,Hollow of Beginnings: Gathering Area,,
フーリャ,Fulya,,
ハフ,Hough,,
民家,House,,
風鳴り洞窟,Windhowl Cave,,
ハンター,Hunter,,
狩人,Hunter,,
狩人の抜け穴,Hunters' Secret Passage,,
イデ,Ide,,
イーファ,Ifa,,
イルマズ,Ilmaz,,
イナタイヤ,Ignatia,,
イネス,Ines,,
侵染の窪地,Infected Basin,,
侵食魔の巣窟,Infected Den,,
侵食魔の巣窟　奥底,Infected Den Depths,,
侵食魔の巣窟　奥底　危険区域,Infected Den Depths: Dangerous Area,,
侵食魔の巣窟　奥底　深層,Infected Den Innermost Depths,,
侵食魔の巣窟　脇道,Infected Den: Byway,,
イングリッド,Ingrid,,
イニアス湿地帯,Inias Wetlands,,
負傷した男性,Injured Man,,
負傷した戦士,Injured Soldier,,
マグサス古水路　最奥,Innermost Magusas Ancient Canal,,
静穏の隠れ洞 最奥,Innermost Quiet Concealed Cave,,
王家の墓 最奥,Innermost Royal Family Mausoleum,,
侵鬼の洞穴,Invading Demons Cave,,
侵鬼の洞穴　中央通路,Invading Demons Cave Center Path,,
侵鬼の洞穴　最深部,Invading Demons Cave Depths,,
イオセフ,Iosef,,
アイラ,Ira,,
イリス,Iris,,
イルヴァ,Ilva,,
アイザック,Isaac,,
イザベル,Isabel,,
イサップ,Aesop,,
イゼル,Isel,,
イゼット,Isetto,,
幽縁ヶ浜,Isolated Beach,,
隔離兵舎,Isolation Barracks,,
イヴァン,Ivan,,
イヴァンの山小屋,Ivan's Lodge,,
アイヴィ,Ivey,,
ジャン,Jan,,
ジャレッド,Jared,,
ジャスパー,Jasper,,
ジェミル,Cemil,,
ジェンナ,Jenna,,
ジフール砦,Jifule Fortress,,
慈恵の斎場,Merciful Funeral Hall,,
ジンゲン,Jingen,,
ジョアンナ,Joanna,,
ヨアキム,Joaquim,,
ヨハン,Johann,,
ジョウホウヤ,Information Dealer,,
ジョナス,Jonas,,
ジョーダン,Jordan,,
ジョゼフ,Joseph,,
ジョセフィン,Josephine,,
ジョシュ,Josh,,
ジュディス,Judith,,
ジュリア,Julia,,
ジュリエンヌ,Julienne,,
密林の鍾乳洞,Jungle Limestone Caves,,
密林の鍾乳洞　深部,Jungle Limestone Caves Depths,,
カレン,Karen,,
カルノ,Karno,,
啼き井戸,Keening Well,,
ケイーク,Keik,,
ケマル,Kemal,,
ケナン,Kenan,,
ケネック,Kennec,,
ハリル,Khalil,,
キビザ,Kibiza,,
キーファー,Kiefer,,
キースヒルト,Kieshildt,,
王の間,King's Chambers,,
キンガル峡谷,Kingal Canyon,,
キンガル峡谷 深層,Kingal Canyon Depths,,
キンガル遺跡路,Kingal Ruins Road,,
キンガル西岸,Kingal West Bank,,
キノザ,Kinoza,,
キノザ治水路,Kinoza Drains,,
キノザ鉱泉,Kinoza Mineral Springs,,
キルスティ,Kirsty,,
キトリッジ,Kittredge,,
クラウス,Klaus,,
騎士,Knight,,
騎士団補給所跡,Knights' Depot Ruins,,
旧騎士団詰め所,Knights' Old Guardhouse,,
旧騎士団連絡路,Knights' Old Route,,
旧騎士団資材庫,Knights' Old Storehouse,,
旧騎士団監視塔,Knights' Old Watchtower,,
夜の女,Lady of the Night,,
聖獣の間,Lair of the Holy Beast,,
セラー湖,Lake Cera,,
セラー湖船墓場,Lake Cera Ship Graveyard,,
イニアス湖,Lake Inias,,
湖底連絡路,Lakebottom Connecting Passage,,
湖岸地下室,Lakeside Cellar,,
湖畔の洞窟,Lakeside Grotto,,
湖畔の洞窟 深層部,Lakeside Grotto Inner Depths,,
湖畔の洞窟 鍾乳洞,Lakeside Grotto: Limestone Cave,,
湖畔の洞窟 通路,Lakeside Grotto: Passage,,
湖岸の廃墟,Lakeside Ruins,,
ラピス,Lapis,,
ララ,Lara,,
大演習場,Large Training Area,,
ラウラ,Laura,,
レ・カルバス・アーマ,Le Karvas Arma,,
レ・カルバス・ロタナ,Le Karvas Lotana,,
レ・カルバス・パティーロ,Le Karvas Patiro,,
レ・カルバス・サルトー,Le Karvas Salto,,
リーザ,Liesa,,
レント,Lent,,
レオ,Leo,,
レオのアジト,Leo's Hideout,,
レスタニア,Lestania,,
レウェラ,Revela,,
リアム,Liam,,
解放軍戦士,Liberation Army Soldier,,
息絶えた覚者,Lifeless Arisen,,
息絶えた騎士,Lifeless Knight,,
息絶えた村人,Lifeless Villager,,
灯台守の家,Lighthouse Keeper's House,,
灯台下の古井戸,Lighthouse Old Well,,
灯台の地下倉庫,Lighthouse Cellar,,
軽装の女戦士,Lightly-Equipped Female Soldier,,
軽装の戦士,Lightly-Equipped Soldier,,
たたずむスケルトン,Lingering Skeleton,,
ライナス,Linus,,
リサ,Lisa,,
リズ,Lise,,
リビアン,Livian,,
ルヴィア,Lluvia,,
ロイグ,Loeg,,
ローガン,Logan,,
森の一軒家,Lone House in the Forest,,
渓谷の一軒家,Lone House in the Valley,,
展望城,Lookout Castle,,
展望城城外,Lookout Castle Exterior,,
展望城城外 ソネルキャンプ,Lookout Castle Exterior: Sonel's Camp,,
展望城 城門前,Lookout Castle: Castle Gate Exterior,,
展望城 中庭,Lookout Castle: Courtyard,,
展望城 地下牢,Lookout Castle: Dungeon,,
展望城 大広間,Lookout Castle: Great Hall,,
展望城 港,Lookout Castle: Harbor,,
展望城 中層,Lookout Castle: Middle Level,,
展望城 王宮層,Lookout Castle: Royal Stratum,,
展望城 上層,Lookout Castle: Upper Level,,
ロルカン,Lorcan,,
ローナ,Lorna,,
ロッタ,Lotta,,
ローラ,Loura,,
ルーカス,Lucas,,
ルキーノ,Luchino,,
リュシアン,Lucien,,
ルチーナ,Lucina,,
ルシンダ,Lucinda,,
ルーシー,Lucy,,
ルドヴィカ,Ludovika,,
木こり,Lumberjack,,
ライアム,Lyam,,
リュカ,Luca,,
リンウッド,Lynwood,,
リンウッド地下水路,Lynwood Underground Waterway,,
ライオネット,Lyonnet,,
マデリーン,Madeline,,
メーヴ,Maeve,,
マグサス古水路,Magusas Ancient Canal,,
マグサス古水路　入り口,Magusas Ancient Canal Entrance,,
マグサス古水路　隠し通路,Magusas Ancient Canal: Hidden Passage,,
マグサス古水路　排水処理場,Magusas Ancient Canal: Treatment Site,,
マハル,Mahal,,
マイア,Maia,,
マジョリー,Majori,,
魔界村地下墓地,Ghosts 'n Goblins Catacombs,,
雄シカ,Male Deer,,
男,Man,,
男性,Man,,
助けを求める男,Man Seeking Help,,
ボロをまとった男,Man in rags,,
マヌンの集落,Manun Village,,
マルコ,Marco,,
マルクス,Marcus,,
マーガレット,Margaret,,
マーホン,Mahon,,
マリオ,Mario,,
マリサ,Marisa,,
マルキス,Marquis,,
クルト侯爵邸,Marquise Kurt's residence,,
マルテン,Marten,,
メアリー,Mary,,
マヴェイル,Mavail,,
メイリーフ,Mayleaf,,
メイリーフの寝室,Mayleaf's Bedroom,,
マコーミック,McCormick,,
マクマホン,McMahon,,
集会場,Assembly Hall,,
メガド大聖堂,Megado Cathedral,,
メガド回廊,Megado Corridor,,
闇に覆われる前のメガド回廊,"Megado Corridor, Unshrouded",,
メガド離宮,Megado Detached Palace,,
メガド護衛兵,Megado Guard,,
メガド上水網,Megado Water Supply Network,,
メガド上水網 深層部,Megado Water Supply Network Depths,,
メガド上水網 通路,Megado Water Supply Network: Passage,,
メガドシス古道,Megadosys Old Road,,
メガドシス古道 フェルヤナ方面,Megadosys Old Road: Feryana Direction,,
メガドシス古道 メガドシス方面,Megadosys Old Road: Megadosys Direction,,
メガドシス古道 中腹,Megadosys Old Road: Mountainside,,
メガドシス高地,Megadosys Plateau,,
メイロワ,Meirova,,
メル,Mel,,
メリッサ,Melissa,,
大地の記憶 聖炎の参竜道,Memories of the Earth: Sacred Flame Path,,
大地の記憶 火垂れ山野営地,Memory of Firefall Mountain Campsite,,
メガドシスの記憶,Memory of Megadosys,,
大地の記憶 メガドシス古道,Memory of Megadosys Old Road,,
大地の記憶 メガドシス古道 脇道,Memory of Megadosys Old Road: Byway,,
大地の記憶 メガドシス古道 フェルヤナ方面,Mem. of Megadosys Road: Feryana Direction,,
大地の記憶 メガドシス古道 メガドシス方面,Mem. of Megadosys Road: Megadosys Direction,,
大地の記憶 メガドシス古道 中腹,Mem. of Megadosys Old Road: Mountainside,,
メガドシスの記憶 武神の間,Memory of Megadosys: War God Room,,
大地の記憶 王家の墓,Memory of Royal Family Mausoleum,,
ウルテカの記憶,Memory of Urteca,,
ウルテカの記憶 東部 入口,Memory of Urteca: Eastern Entrance,,
ウルテカの記憶 北部 入口,Memory of Urteca: Northern Entrance,,
ウルテカの記憶 武神の間,Memory of Urteca: War God Room,,
ウルテカの記憶 西部 入口,Memory of Urteca: Western Entrance,,
メフィス,Mephis,,
メフィテ,Mephite,,
メフィテ旅人宿,Mephite Traveler's Inn,,
商人,Merchant,,
メルガン・アルケミデア,Mergan Alchemium,,
メルゴダ大水網,Mergoda Waterway,,
メルゴダ・黄金宮,Mergoda Golden Palace,,
メルゴダ下層,Mergoda Lower Level,,
メルゴダ下層　廃墟群,Mergoda: Cluster of Ruins,,
メルゴダ下層　礎前,Mergoda Outer Portcrystal,,
メルゴダ居住区,Mergoda Residential Area,,
メルゴダ王宮層,Mergoda Royal Palace Level,,
メルゴダ王宮層　空庭,Mergodan Palace Terrace,,
亡都メルゴダ,Mergoda Ruins,,
亡都メルゴダ　下層,Mergoda Ruins: Lower Level,,
亡都メルゴダ　王宮層,Mergoda Ruins: Royal Palace Level,,
メルゴダ護政区,Mergoda Security District,,
メルゴダ民の住居,Mergodan Residence,,
メルテム,Meltem,,
メリエム,Meriem,,
不在伝言係,Messenger,,
メトロファネス,Metrophanes,,
ミーア,Mia,,
ミカエラ,Michaela,,
ミラン,Milan,,
ミルバーン,Milburn,,
マイルズ,Miles,,
憲兵,Military Police,,
鉱員,Miner,,
採掘師の隠れ道,Miners' Secret Route,,
鉱山の大踊り場,Mines' Large Landing,,
ミランダ,Miranda,,
ミリヤム,Miriam,,
霧幻のテラス,Misty Illusion Terrace,,
霧幻のテラス　危険区域,Misty Illusion Terrace: Dangerous Area,,
霧幻のテラス　深層,Mistveil Terrace Depths,,
霧幻のテラス　中層,Mistveil Terrace: Middle Level,,
霧幻のテラス　浅層,Mistveil Terrace: Surface Level,,
モアナ,Moana,,
モゴック,Mogok,,
モル,Mole,,
モルトバ灯台,Moltova Lighthouse,,
モルトバ遺跡,Moltova Ruins,,
モルトバ遺跡　危険区域,Moltova Ruins: Dangerous Area,,
モルトバ遺跡　左路,Moltova Ruins: Left Path,,
モルトバ遺跡　右路,Moltova Ruins: Right Path,,
モナ,Mona,,
月影のテラス,Moonlight Terrace,,
モードレッド,Mordred,,
モルフォール,Morfaul,,
モルフォール・セントラム,Morfaul Centrum,,
モルフォール族長の家,Morfaul Chief's Home,,
モーガン,Morgan,,
モルガーナ,Morgana,,
モーリス,Morris,,
モローケイヴァン,Morrow Cavern,,
モローケイヴァン　深部,Morrow Cavern Depths,,
モローケイヴァン　最深部,Morrow Cavern Innermost Depths,,
モローケイヴァン　危険区域,Morrow Cavern: Dangerous Area,,
モロー樹林,Morrow Forest,,
モロー樹林 深層,Morrow Forest Depths,,
モロー古跡,Morrow Old Ruins,,
モルテン,Morten,,
山腹の野戦場,Mountainside Battlefield,,
ムバラク,Mubarak,,
ミュゲ,Muge,,
ムラト,Murad,,
ミューセル,Mucel,,
音楽家,Musician,,
ムスタファ,Mustafa,,
マイラ,Myra,,
ミシアル,Mysial,,
ミスリウ森林,Mysree Forest,,
ミスリウ森林深部,Mysree Grove,,
標の祠　ミスリウ森林深部,Mysree Grove Shrine,,
ミスリウ鍾乳洞,Mysree Limestone Cave,,
ミステラ,Mystera,,
謎のお化け,Mysterious Ghost,,
不思議な少女,Mysterious Girl,,
謎の礎,Mysterious Portcrystal,,
幽玄の霊堂,Mysterious Mausoleum,,
幽玄の霊堂　危険区域,Mysterious Mausoleum: Dangerous Area,,
幽玄の霊堂　深層,Mysterious Mausoleum Depths,,
幽玄の霊堂　中層,Mysterious Mausoleum: Middle Level,,
ナバル,Nabal,,
ナディア,Nadia,,
名もなき廃村,Nameless Deserted Village,,
ナンシー,Nancy,,
ナタリア,Natalia,,
ネイト,Nate,,
ナサニエル,Nathaniel,,
自然洞窟＋坑道（カスタム）00,Natural Cave + Tunnel (custom) 00,,
ナーヴ,Nave,,
ナヴィド,Navid,,
ナヤジーク,Nazik,,
ネビュラ小神殿,Nebula Temple,,
ネビュラ小神殿　回廊,Nebula Temple Corridor,,
ネビュラ小神殿　深部,Nebula Temple Depths,,
ネビュラ小神殿　中央部,Nebula Temple: Center,,
骸の将,Necro Master,,
ネド,Nedo,,
ネイア,Neia,,
ネルソン,Nelson,,
術師の地下泉,Arcane Font,,
ネストーレ,Nestor,,
ニュートの巣穴,Newt Den,,
ニコラス,Nicholas,,
ニコラ,Nicola,,
ニキ,Nikki,,
ニルビリス大橋関所,Nilviris Bridge Checkpoint,,
ニルヴァーナ,Nirvana,,
貴族,Nobleman,,
ノーラ,Nora,,
ポーン会話用ノーマル,Normal Pawn,,
ノーマン,Norman,,
ノーメル,Normel,,
北側排水路,North Drainage Channel,,
暗黒の統べる地　北端,North Land of Darkness,,
ラスニテ山麓 北側,North Rathnite Foothills,,
ボルド鉱山 北側,North Volden Mines,,
北の盗賊のアジト,Northern Bandit Hideout,,
バートランド平原北部,Northern Betland Plains,,
ウルテカ山岳 北部,Northern Urteca Mountains,,
ノーザナス侵林,Northerners Infected Woods,,
ノーザナス侵林　危険区域,Infected Woods: Dangerous Area,,
オニール,O'Neill,,
オブリン,Oberlin,,
奇岩谷,Odd Rock Valley,,
オイングス,Oengus,,
オフタイムのガルドリン,Off-time Gurdolin,,
オジナの支配圏,Ogina's Domain,,
廃都の住居跡,Old Capital Ruins,,
旧船頭寄合所,Old Ferryman's Haunt,,
旧船頭寄合所　最深部,Old Ferryman's Haunt Innermost Depths,,
旧船頭寄合所　中央広場,Old Ferryman's Haunt: Central Plaza,,
旧船頭寄合所　危険区域,Old Ferryman's Haunt: Dangerous Area,,
旧船頭寄合所　深部通路,Old Ferryman's Haunt: Depths Passage,,
旧英霊廟,Old Hero's Rest Shrine,,
古住居遺跡,Old Residence Ruins,,
旧鉱泉湧き口,Old Spring,,
古テキア洞窟,Old Tekia Grotto,,
古テキア洞窟　中心部,Old Tekia Grotto: Central Part,,
旧地下実験所,Old Underground Laboratory,,
旧水汲み場,Old Waterhole,,
老婦,Old Woman,,
オリバー,Oliver,,
ウーナ,Oona,,
オフィリア,Ophelia,,
オーク,Orc,,
オーク残党宿営地,Orc Remnants Camp,,
オルハン,Orhan,,
オリア,Orla,,
オズワルド,Oswald,,
オズワルドの武具店,Oswald's Armor Shop,,
外に出る,Outside,,
オーウェン,Owen,,
牛,Ox,,
オズギュル,Ozgur,,
宮殿前広場,Palace Plaza,,
パメラ,Pamela,,
パリスハルト,Parishard,,
掘削中の井戸,Half-finished Well,,
パートナーポーン,Partner Pawn,,
パスカル,Pascal,,
通りすがりの旅人,Passing Traveler,,
モローへの小路,Path to Morrow,,
モローへの小路 船着き場,Path to Morrow Wharf,,
パトリシア,Patricia,,
ポール,Paul,,
ポーラ,Paula,,
ポーン郷,Pawn Cathedral,,
ペコ,Peco,,
行商人,Peddler,,
行商人の難所,Peddler's Peril,,
ペドロ,Pedro,,
ペドロ雑貨店,Pedro's General Store,,
ペール,Pehr,,
罪人の修獄,Penitentiary,,
罪人の修獄　危険区域,Penitentiary: Dangerous Area,,
亡都の民,People of the Dead City,,
パーシー,Percy,,
パーシモン,Persimmon,,
淀みし大竜力,Phantasmic Great Dragon,,
フィンダム,Phindym,,
群像の岩屋,Statuary Hollow,,
ピエリ,Pieri,,
ブタ,Pig,,
ピレモス旅人宿,Piremoth Traveler's Inn,,
ピサル,Pisarr,,
叫びの竪穴,Pit of Screams,,
叫びの竪穴　危険区域,Pit of Screams: Dangerous Area,,
ピット,Pitt,,
ピクシーズキャンプ,Pixies' Camp,,
平原の廃墟地下室,Plains House Abandoned Cellar,,
高地のあばら屋,Plateau Shack,,
プラム,Plum,,
密猟者のキャンプ,Poachers' Camp,,
ポー,Poe,,
詩人,Poet,,
還れぬ炎の吹き溜まり,Pool of Inextinguishable Flames,,
捕食者たちの低地,Predators' Lowland,,
プリースト,Priest,,
神官,Priest,,
原初の集落,Primitive Settlement,,
守り人の庵,Protector's Retreat,,
パブ用ステージ,Pubs' Stage,,
ポーン会話用ピュア,Pure Pawn,,
浄水区,Purified Water Section,,
紫花の園,Purple Flower Garden,,
サラマンダーコロニー,Pyre Saurian Colony,,
静穏の隠れ洞,Quiet Concealed Cave,,
静穏の隠れ洞 洞窟通路,Quiet Concealed Cave: Cave Passage,,
クインタス,Quintus,,
ウサギ,Rabbit,,
ガクシャ,Raksha,,
腐臭の溜まり場,Rancid Haunt,,
ランドル,Randolf,,
ラスニテ納骨廟,Rathnite Columbarium,,
ラスニテ納骨廟 深層部,Rathnite Columbarium Inner Depths,,
ラスニテ納骨廟 中央広場,Rathnite Columbarium: Central Plaza,,
ラスニテ山麓,Rathnite Foothills,,
ラスニテ山麓　湖畔部,Rathnite Foothills Lakeside,,
ラスニテ地下水路,Rathnite Underground Waterway,,
ラスニテ地下水路 通路,Rathnite Underground Waterway: Aisle,,
ラウル,Raul,,
ラウル武具工房,Raul's Arms and Armor Workshop,,
レイベン,Raven,,
レイ,Ray,,
レヤ,Ray,,
レイモンド,Raymond,,
ラザネイル,Razanailt,,
再帰の浜辺,Recrudescent Beach,,
キノザ組合宿　紅水晶亭,Red Crystal Inn,,
レジーナ,Regina,,
ライシュ,Reich,,
宿場区,Relay Station,,
レンテン,Renton,,
水源へ続く地下道,Reservoir Underground Tunnel,,
安息無き地下水道,Restless Water Channel,,
安息無き地下水道 深層部,Restless Water Channel Inner Depths,,
レヴェント,Levente,,
リアガン,Riagan,,
リキャルド,Ricardo,,
リック,Rick,,
リドリー,Ridley,,
リングディール,Ringdeel,,
木漏れ日の川辺,Riverside of Dappled Sunlight,,
鬼鳴き橋,Roaring Demon Bridge,,
潮騒洞窟,Roaring Tide Cave,,
潮騒の隠れ部屋,Tidewhisper Vault,,
ローシェ,Rocher,,
ロルフ,Rolf,,
ロンドジール,Rondejeel,,
ローザ,Rosa,,
ロス,Ross,,
ローテス,Rotes,,
ロスギル,Rothgill,,
ロスギル兵士,Rothgill Soldier,,
ロスギル旅人宿,Rothgill Traveler's Inn,,
ロイ,Roy,,
王家の隠れ部屋 メガドシス高地,Royal's Hidden Chamber (Megadosys Plat.),,
王家の隠れ部屋 ウルテカ山岳,Royal's Hidden Chamber (Urteca Mts.),,
王家の隠れ道,Royal Family's Secret Path,,
王家の隠れ道 秘密の扉前,Royal Family's Secret Path: Hidden Door,,
王家の隠れ道 書庫,Royal Family's Secret Path: Library,,
王家の隠れ道 聖堂,Royal Family's Secret Path: Shrine,,
王家の隠れ道 宝物庫,Royal Family's Secret Path: Treasury,,
ルドルフォ,Rudolfo,,
廃墟の地下室,Ruins Cellar,,
遺跡の地下室,Ruins Site Cellar,,
聖炎の参竜道,Sacred Flame Path,,
聖炎の参竜道 上層,Sacred Flame Path: Upper Level,,
聖域,Sacred Grounds,,
聖河の遺跡,Sacred River Ruins,,
聖河の遺跡　中央通路,Sacred River Ruins Center Passage,,
聖河の遺跡 船着き場,Sacred River Ruins Wharf,,
聖河の遺跡　中心部,Sacred River Ruins: Central Part,,
霊泉のテラス,Sacred Spring Terrace,,
聖樹のテラス,Sacred Tree Terrace,,
セイディ,Sadie,,
聖遺の塔,Sage Tower Ruins,,
賢者の墓標,Sage's Gravestone,,
賢者の古井戸,Sage's Old Well,,
サゴー,Sago,,
サラミス,Salamis,,
サリー,Sally,,
救出ポーン1,Salvage pawn,,
サマンサ,Samantha,,
サムエル,Samuel,,
サーニャ,Sanya,,
サーラ,Sara,,
サウザネル侵林,Sauzanel Infected Woods,,
サーズ・ディナン,Sazu Deenan,,
怯えた男,Scared Man,,
おびえた様子の女性,Scared Woman,,
大地の傷跡,Scarred Earth,,
スケルツォ,Scherzo,,
灼熱の封鎖道,Scorching Blocked Passage,,
灼熱の封鎖道　脇道,Scorching Blocked Passage: Byway,,
灼熱の封鎖道　危険区域,Scorching Passage: Dangerous Area,,
シラ,Scylla,,
ローテス組合宿　海竜亭,Sea Dragon Inn,,
シーベル,Seabell,,
閉ざされた古井戸,Old Sealed Well,,
封じの玄室,Sealed Sepulcher,,
ショーン,Sean,,
海辺の地下室,Seaside Cellar,,
セバスチャン,Sebastian,,
第二防衛区画,Second Defense Area,,
第二の門,Second Gate,,
セカンドポーン,Second Pawn,,
第二捕虜収容所,Second Prison Camp,,
秘弓師の住居,Bowmaster's Secret Lodge,,
秘匿の実験場,Hidden Observatory,,
秘匿の実験場　危険区域,Hidden Observatory: Dangerous Area,,
秘匿の実験場　深層,Hidden Observatory Depths,,
秘匿の実験場　中層,Hidden Observatory: Middle Level,,
セダ,Seda,,
シーカー,Seeker,,
セリム,Selim,,
セルマ,Selma,,
セマ,Sema,,
セネカ,Seneka,,
老夫婦,Senior Couple,,
古参の騎士,Senior Knight,,
セラ,Sera,,
セレア,Serea,,
セリク,Serik,,
セリン,Selin,,
シェドレアン大神殿,Shadolean Great Temple,,
闇に覆われる前のシェドレアン大神殿,"Shadolean Great Temple, Unshrouded",,
シェドレアン大神殿　最奥前,Shadolean Great Temple: Before Depths,,
シェドレアン大神殿　中央部,Shadolean Great Temple: Center,,
シェドレアン大神殿　宝物庫,Shadolean Great Temple: Treasury,,
闇の将,Shadow Master,,
シャロム,Shalom,,
シーラ,Sira,,
シェケル,Shekel,,
甲竜の湿原,Shell Dragon's Bog,,
シェリー,Shelly,,
セム,Shem,,
シェナ,Shena,,
シェナイ,Shenay,,
シェリン,Sheryn,,
シールドセージ,Shield Sage,,
彩光の滝,Shimmering Waterfall,,
商店区,Shopping District,,
商店区 裏通り,Shopping District Alley,,
戦練の社,Shrine of Combat,,
戦練の社 最奥,Shrine of Combat: Deepest Depths,,
戦練の社 不死の路,Shrine of Combat: Immortal Path,,
戦練の社 自然の路,Shrine of Combat: Nature's Path,,
戦練の社 霊の路,Shrine of Combat: Spirit Path,,
怨嗟の祠,Shrine of Resentment,,
劫炎の祠堂,Shrine of the Eternal Blaze,,
劫炎の祠堂 脇道,Shrine of the Eternal Blaze: Byway,,
ポーン会話用シャイ,Shy Pawn,,
シディカ,Sidika,,
静かな抗戦跡,Silent Resistance Battle Site,,
銀隠者の根城,Silver Hermit's Stronghold,,
ジンゲン組合宿　風啼き亭,Singing Winds Inn,,
シスレー,Sisley,,
スケルトン,Skeleton,,
空望広場,Skygazing Spot,,
ドラワン組合宿　眠り狼亭,Sleeping Wolf Inn,,
スライ,Sly,,
死者の小窟,Small Cave Tombs,,
知恵の小塔,Small Tower of Wisdom,,
ポーン会話用スマート,Smart Pawn,,
鍛冶職人,Smith,,
戦士,Soldier,,
兵士詰所,Guardroom,,
ソネル,Sonel,,
ソニア,Sonia,,
ソーニャ,Sonya,,
ソーサラー,Sorcerer,,
魔術師,Sorcerer,,
スーレ,Sule,,
ブリア海岸 南側,South Breya Coast,,
南ハイデル大橋,South Hidell Bridge,,
暗黒の統べる地　南端,South Land of Darkness,,
南メルゴダ遺跡群,South Mergoda Ruins,,
南壁のひび,Southern Wall Fissure,,
南壁谷の道,Southern Wall Gorge,,
術師の取引所,Specialist Trading Post,,
武霊の庵,Spirit Arts Hut,,
精霊竜セシリー,Spirit Dragon Cecily,,
精霊竜ウィルミア,Spirit Dragon Willmia,,
精霊竜のねぐら,Spirit Dragon's Roost,,
スピリットランサー,Spirit Lancer,,
豊穣の泉,Spring of Abundance,,
癒しの泉,Spring of Healing,,
活力の泉,Spring of Vitality,,
隊将ドワーフオーク,Squad Leader Dwarf Orc,,
スターク,Stark,,
不気味な男,Strange Man,,
野良ポーン1,Stray pawn,,
流水の小路,Stream Alley,,
立ち病みの森,Suffering Forest,,
スレイマン,Suleiman,,
サリヴァン,Sullivan,,
山頂の小堂,Summit Chapel,,
スニーカー,Sunika,,
陽射す地下洞,Skylight Tunnel,,
サニー,Sunny,,
斜陽のテラス,Sunset Terrace,,
食糧庫,Supply Store,,
廃墟の食糧庫,Supply Store Ruins,,
スラボ,Slab,,
スローニャ,Sloane,,
スザンナ,Susanna,,
怪しいゴブリン,Suspicious Goblin,,
スヴェン,Sven,,
タバサ,Tabitha,,
タルコット,Talcott,,
タネル,Tanel,,
タリーエの小塔,Tarie Small Tower,,
酒場,Tavern,,
酒場の女,Tavern Woman,,
テッド,Ted,,
テゴル治水路,Tegor Floodway,,
テゴル川,Tegor River,,
テル,Tel,,
テルの枯れ井戸,Tel's Withered Well,,
神殿女：予備枠,Temple Bystander,,
禊の神殿,Temple of Purification,,
禊の神殿 湖畔,Temple of Purification Lakeside,,
禊の神殿　離殿,Temple of Purification: South Chamber,,
テントの抜け道,Tent Escape Route,,
