Japanese,English
英霊眠りし道 井戸 入口,Heroic Spirit Sleeping Path Well: Entrance
英霊眠りし道 井戸 第一の間,Heroic Spirit Sleeping Path Well: First Space
英霊眠りし道 井戸 第四の間,Heroic Spirit Sleeping Path Well: Fourth Space
英霊眠りし道 井戸 通路,Heroic Spirit Sleeping Path Well: Passage
英霊眠りし道 井戸 第二の間,Heroic Spirit Sleeping Path Well: Second Space
英霊眠りし道 井戸 石像の間,Heroic Spirit Sleeping Path Well: Stone Statue Space
英霊眠りし道 井戸 第三の間,Heroic Spirit Sleeping Path Well: Third Space
英霊眠りし道 洞窟,Heroic Spirit Sleeping Path: Cave
英霊眠りし道　フェルヤナ荒原,Heroic Spirit Sleeping Path: Feryana Wilderness
英霊眠りし道 フェルヤナ荒原,Heroic Spirit Sleeping Path: Feryana Wilderness
英霊眠りし道　ラスニテ山麓,Heroic Spirit Sleeping Path: Rathnite Foothills
英霊眠りし道 ラスニテ山麓,Heroic Spirit Sleeping Path: Rathnite Foothills
英霊眠りし道 祠,Heroic Spirit Sleeping Path: Shrine
ヘスター,Hester
ヘストン,Heston
ヒックス,Hicks
隠れ浜,Hidden Beach
隠れ村ピレモス,Hidden Village Piremoth
メガドへの隠れ水路,Hidden Waterway to Megado
ハイデル地下霊廟,Hidell Catacombs
ハイデル地下霊廟　深部,Hidell Catacombs Depths
ハイデル地下霊廟　最深部,Hidell Catacombs Innermost Depths
ハイデル教会,Hidell Church
ハイデル平原,Hidell Plains
隠れ潜むガルドリン,Hiding Gurdolin
ハイセプター,High Scepter
ヒルデ,Hilde
ホボリック洞穴,Hobolic Cave
始まりの洞,Hollow of Beginnings
始まりの洞　集いの間,Hollow of Beginnings: Gathering Area
始まりの洞　集いの間　,Hollow of Beginnings: Gathering Area
フーリャ,Holya
ハフ,Hough
民家,House
風鳴り洞窟,Howling Wind Cave
ハンター,Hunter
狩人,Hunter
狩人の抜け穴,Hunters' Secret Passage
イデ,Ide
イーファ,Ifa
イルマズ,Ilmaz
イナタイヤ,Inataya
イネス,Ines
侵染の窪地,Infected Basin
侵食魔の巣窟,Infected Den
侵食魔の巣窟　奥底,Infected Den Depths
侵食魔の巣窟　奥底　危険区域,Infected Den Depths: Dangerous Area
侵食魔の巣窟　奥底　深層,Infected Den Depths: Deepest Level
侵食魔の巣窟　脇道,Infected Den: Byway
イングリッド,Ingrid
イニアス湿地帯,Inias Wetlands
負傷した男性,Injured Man
負傷した戦士,Injured Soldier
マグサス古水路　最奥,Innermost Magusas Ancient Watercourse
静穏の隠れ洞 最奥,Innermost Quiet Concealed Cave
王家の墓 最奥,Innermost Royal Family Mausoleum
侵鬼の洞穴,Invading Demons Cave
侵鬼の洞穴　中央通路,Invading Demons Cave Center Passage
侵鬼の洞穴　最深部,Invading Demons Cave Innermost Depths
イオセフ,Iosef
アイラ,Ira
イリス,Iris
イルヴァ,Iruva
アイザック,Isaac
イザベル,Isabel
イサップ,Isap
イゼル,Isel
イゼット,Isetto
幽縁ヶ浜,Isolated Beach
隔離兵舎,Isolation Barracks
イヴァン,Ivan
イヴァンの山小屋,Ivan's Lodge
アイヴィ,Ivey
ジャン,Jan
ジャレッド,Jared
ジャスパー,Jasper
ジェミル,Jemir
ジェンナ,Jenna
ジフール砦,Jifule Fortress
慈恵の斎場,Jikei's Funeral Parlor
ジンゲン,Jingen
ジョアンナ,Joanna
ヨアキム,Joaquim
ヨハン,Johann
ジョウホウヤ,Johoya
ジョナス,Jonas
ジョーダン,Jordan
ジョゼフ,Joseph
ジョセフィン,Josephine
ジョシュ,Josh
ジュディス,Judith
ジュリア,Julia
ジュリエンヌ,Julienne
密林の鍾乳洞,Jungle Limestone Caves
密林の鍾乳洞　深部,Jungle Limestone Caves Depths
カレン,Karen
カルノ,Karno
啼き井戸,Keening Well
ケイーク,Keiku
ケマル,Kemal
ケナン,Kenan
ケネック,Kennec
ハリル,Khalil
キビザ,Kibiza
キーファー,Kiefer
キースヒルト,Kieshildt
王の間,King's Space
キンガル峡谷,Kingal Canyon
キンガル峡谷 深層,Kingal Canyon Depths
キンガル遺跡路,Kingal Ruins Road
キンガル西岸,Kingal West Bank
キノザ,Kinoza
キノザ治水路,Kinoza Flood Control Channel
キノザ鉱泉,Kinoza Mineral Springs
キルスティ,Kirsty
キトリッジ,Kittredge
クラウス,Klaus
騎士,Knight
騎士団補給所跡,Knights' Depot Ruins
旧騎士団詰め所,Knights' Old Guardhouse
旧騎士団連絡路,Knights' Old Route
旧騎士団資材庫,Knights' Old Storehouse
旧騎士団監視塔,Knights' Old Watchtower
夜の女,Lady of the Night
聖獣の間,Lair of the Holy Beast
セラー湖,Lake Cera
セラー湖船墓場,Lake Cera Ship Graveyard
イニアス湖,Lake Inias
湖底連絡路,Lakebottom Connecting Passage
湖岸地下室,Lakeside Cellar
湖畔の洞窟,Lakeside Grotto
湖畔の洞窟 深層部,Lakeside Grotto Inner Depths
湖畔の洞窟 鍾乳洞,Lakeside Grotto: Limestone Cave
湖畔の洞窟 通路,Lakeside Grotto: Passage
湖岸の廃墟,Lakeside Ruins
ラピス,Lapis
ララ,Lara
大演習場,Large Training Area
ラウラ,Laura
レ・カルバス・アーマ,Le Karvas Arma
レ・カルバス・ロタナ,Le Karvas Lotana
レ・カルバス・パティーロ,Le Karvas Patiro
レ・カルバス・サルトー,Le Karvas Salto
リーザ,Leeza
レント,Lent
レオ,Leo
レオのアジト,Leo's Hideout
レスタニア,Lestania
レウェラ,Lewela
リアム,Liam
解放軍戦士,Liberation Army Soldier
息絶えた覚者,Lifeless Arisen
息絶えた騎士,Lifeless Knight
息絶えた村人,Lifeless Villager
灯台守の家,Lighthouse Keeper's House
灯台下の古井戸,Lighthouse Old Well
灯台の地下倉庫,Lighthouse Underground Stores
軽装の女戦士,Lightly-Equipped Female Soldier
軽装の戦士,Lightly-Equipped Soldier
たたずむスケルトン,Lingering Skeleton
ライナス,Linus
リサ,Lisa
リズ,Lise
リビアン,Livian
ルヴィア,Lluvia
ロイグ,Loeg
ローガン,Logan
森の一軒家,Lone House in the Forest
渓谷の一軒家,Lone House in the Valley
展望城,Lookout Castle
展望城城外,Lookout Castle Exterior
展望城城外 ソネルキャンプ,Lookout Castle Exterior: Sonel's Camp
展望城 城門前,Lookout Castle: Before the Castle Gate
展望城 中庭,Lookout Castle: Courtyard
展望城 地下牢,Lookout Castle: Dungeon
展望城 大広間,Lookout Castle: Great Hall
展望城 港,Lookout Castle: Harbor
展望城 中層,Lookout Castle: Middle Level
展望城 王宮層,Lookout Castle: Royal Palace Level
展望城 上層,Lookout Castle: Upper Level
ロルカン,Lorcan
ローナ,Lorna
ロッタ,Lotta
ローラ,Loura
ルーカス,Lucas
ルキーノ,Luchino
リュシアン,Lucien
ルチーナ,Lucina
ルシンダ,Lucinda
ルーシー,Lucy
ルドヴィカ,Ludovika
木こり,Lumberjack
ライアム,Lyam
リュカ,Lyka
リンウッド,Lynwood
リンウッド地下水路,Lynwood Underground Waterway
ライオネット,Lyonnet
マデリーン,Madeline
メーヴ,Maeve
マグサス古水路,Magusas Ancient Watercourse
マグサス古水路　入り口,Magusas Ancient Watercourse Entrance
マグサス古水路　隠し通路,Magusas Ancient Watercourse: Hidden Passage
マグサス古水路　排水処理場,Magusas Ancient Watercourse: Wastewater Processing Site
マハル,Mahal
マイア,Maia
マジョリー,Majori
魔界村地下墓地,Makaimura Catacombs
雄シカ,Male Deer
男,Man
男性,Man
助けを求める男,Man Seeking Help
ボロをまとった男,Man in rags
マヌンの集落,Manun Village
マルコ,Marco
マルクス,Marcus
マーガレット,Margaret
マーホン,Marhon
マリオ,Mario
マリサ,Marisa
マルキス,Marquis
クルト侯爵邸,Marquise Kurt's residence
マルテン,Marten
メアリー,Mary
マヴェイル,Mavail
メイリーフ,Mayleaf
メイリーフの寝室,Mayleaf's Bedroom
マコーミック,McCormick
マクマホン,McMahon
集会場,Meeting Spot
メガド大聖堂,Megado Cathedral
メガド回廊,Megado Corridor
闇に覆われる前のメガド回廊,"Megado Corridor, Unshrouded"
メガド離宮,Megado Detached Palace
メガド護衛兵,Megado Guard
メガド上水網,Megado Water Supply Network
メガド上水網 深層部,Megado Water Supply Network Inner Depths
メガド上水網 通路,Megado Water Supply Network: Passage
メガドシス古道,Megadosys Old Road
メガドシス古道 フェルヤナ方面,Megadosys Old Road: Feryana Direction
メガドシス古道 メガドシス方面,Megadosys Old Road: Megadosys Direction
メガドシス古道 中腹,Megadosys Old Road: Mountainside
メガドシス高地,Megadosys Plateau
メイロワ,Meirova
メル,Mel
メリッサ,Melissa
大地の記憶 聖炎の参竜道,Memories of the Earth: Sacred Flame Path
大地の記憶 火垂れ山野営地,Memory of Firefall Mountain Campsite
メガドシスの記憶,Memory of Megadosys
大地の記憶 メガドシス古道,Memory of Megadosys Old Road
大地の記憶 メガドシス古道 脇道,Memory of Megadosys Old Road: Byway
大地の記憶 メガドシス古道 フェルヤナ方面,Memory of Megadosys Old Road: Feryana Direction
大地の記憶 メガドシス古道 メガドシス方面,Memory of Megadosys Old Road: Megadosys Direction
大地の記憶 メガドシス古道 中腹,Memory of Megadosys Old Road: Mountainside
メガドシスの記憶 武神の間,Memory of Megadosys: War God Space
大地の記憶 王家の墓,Memory of Royal Family Mausoleum
ウルテカの記憶,Memory of Urteca
ウルテカの記憶 東部 入口,Memory of Urteca: Eastern Entrance
ウルテカの記憶 北部 入口,Memory of Urteca: Northern Entrance
ウルテカの記憶 武神の間,Memory of Urteca: War God Space
ウルテカの記憶 西部 入口,Memory of Urteca: Western Entrance
メフィス,Mephis
メフィテ,Mephite
メフィテ旅人宿,Mephite Traveler's Inn
商人,Merchant
メルガン・アルケミデア,Mergan Alchemdia
メルゴダ大水網,Mergoda Flood Channels
メルゴダ・黄金宮,Mergoda Golden Palace
メルゴダ下層,Mergoda Lower Level
メルゴダ下層　廃墟群,Mergoda Lower Level: Abundant Ruins
メルゴダ下層　礎前,Mergoda Lower Level: Previous Portcrystal
メルゴダ居住区,Mergoda Residential Area
メルゴダ王宮層,Mergoda Royal Palace Level
メルゴダ王宮層　空庭,Mergoda Royal Palace Level: Empty Court
亡都メルゴダ,Mergoda Ruins
亡都メルゴダ　下層,Mergoda Ruins: Lower Level
亡都メルゴダ　王宮層,Mergoda Ruins: Royal Palace Level
メルゴダ護政区,Mergoda Security District
メルゴダ民の住居,Mergodan Residence
メルテム,Mertem
メリエム,Meryem
不在伝言係,Messenger
メトロファネス,Metrophanes
ミーア,Mia
ミカエラ,Michaela
ミラン,Milan
ミルバーン,Milburn
マイルズ,Miles
憲兵,Military Police
鉱員,Miner
採掘師の隠れ道,Miners' Secret Route
鉱山の大踊り場,Mines' Large Landing
ミランダ,Miranda
ミリヤム,Miriam
霧幻のテラス,Misty Illusion Terrace
霧幻のテラス　危険区域,Misty Illusion Terrace: Dangerous Area
霧幻のテラス　深層,Misty Illusion Terrace: Deepest Level
霧幻のテラス　中層,Misty Illusion Terrace: Middle Level
霧幻のテラス　浅層,Misty Illusion Terrace: Surface Level
モアナ,Moana
モゴック,Mogok
モル,Mole
モルトバ灯台,Moltova Lighthouse
モルトバ遺跡,Moltova Ruins
モルトバ遺跡　危険区域,Moltova Ruins: Dangerous Area
モルトバ遺跡　左路,Moltova Ruins: Left Path
モルトバ遺跡　右路,Moltova Ruins: Right Path
モナ,Mona
月影のテラス,Moonlight Terrace
モードレッド,Mordred
モルフォール,Morfaul
モルフォール・セントラム,Morfaul Centrum
モルフォール族長の家,Morfaul Chief's Home
モーガン,Morgan
モルガーナ,Morgana
モーリス,Morris
モローケイヴァン,Morrow Cavern
モローケイヴァン　深部,Morrow Cavern Depths
モローケイヴァン　最深部,Morrow Cavern Innermost Depths
モローケイヴァン　危険区域,Morrow Cavern: Dangerous Area
モロー樹林,Morrow Forest
モロー樹林 深層,Morrow Forest Depths
モロー古跡,Morrow Old Ruins
モルテン,Morten
山腹の野戦場,Mountainside Battlefield
ムバラク,Mubarak
ミュゲ,Muget
ムラト,Murad
ミューセル,Musel
音楽家,Musician
ムスタファ,Mustafa
マイラ,Myra
ミシアル,Mysial
ミスリウ森林,Mysree Forest
ミスリウ森林深部,Mysree Grove
標の祠　ミスリウ森林深部,Mysree Grove Shrine
ミスリウ鍾乳洞,Mysree Limestone Cave
ミステラ,Mystera
謎のお化け,Mysterious Ghost
不思議な少女,Mysterious Girl
謎の礎,Mysterious Keystone
幽玄の霊堂,Mysterious Mausoleum
幽玄の霊堂　危険区域,Mysterious Mausoleum: Dangerous Area
幽玄の霊堂　深層,Mysterious Mausoleum: Deepest Level
幽玄の霊堂　中層,Mysterious Mausoleum: Middle Level
ナバル,Nabal
ナディア,Nadia
名もなき廃村,Nameless Deserted Village
ナンシー,Nancy
ナタリア,Natalia
ネイト,Nate
ナサニエル,Nathaniel
自然洞窟＋坑道（カスタム）00,Natural Cave + Tunnel (custom) 00
ナーヴ,Nave
ナヴィド,Navido
ナヤジーク,Nayajiku
ネビュラ小神殿,Nebula Temple
ネビュラ小神殿　回廊,Nebula Temple Corridor
ネビュラ小神殿　深部,Nebula Temple Depths
ネビュラ小神殿　中央部,Nebula Temple: Center
骸の将,Necro Master
ネド,Nedo
ネイア,Neia
ネルソン,Nelson
術師の地下泉,Neophyte's Cellar
ネストーレ,Nestor
ニュートの巣穴,Newt Den
ニコラス,Nicholas
ニコラ,Nicola
ニキ,Nikki
ニルビリス大橋関所,Nilviris Bridge Checkpoint
ニルヴァーナ,Nirvana
貴族,Nobleman
ノーラ,Nora
ポーン会話用ノーマル,Normal Pawn
ノーマン,Norman
ノーメル,Normel
北側排水路,North Drainage Channel
暗黒の統べる地　北端,North Land of Darkness
ラスニテ山麓 北側,North Rathnite Foothills
ボルド鉱山 北側,North Volden Mines
北の盗賊のアジト,Northern Bandit Hideout
バートランド平原北部,Northern Betland Plains
ウルテカ山岳 北部,Northern Urteca Mountains
ノーザナス侵林,Northerners Infected Woods
ノーザナス侵林　危険区域,Northerners Infected Woods: Dangerous Area
オニール,O'Neill
オブリン,Obren
奇岩谷,Odd Rock Valley
オイングス,Oengus
オフタイムのガルドリン,Off-time Gurdolin
オジナの支配圏,Ogina's Domination Area
廃都の住居跡,Old Capital Ruins
旧船頭寄合所,Old Ferryman's Haunt
旧船頭寄合所　最深部,Old Ferryman's Haunt Innermost Depths
旧船頭寄合所　中央広場,Old Ferryman's Haunt: Central Square
旧船頭寄合所　危険区域,Old Ferryman's Haunt: Dangerous Area
旧船頭寄合所　深部通路,Old Ferryman's Haunt: Depths Passage
旧英霊廟,Old Heroic Spirit Shrine
古住居遺跡,Old Residence Ruins
旧鉱泉湧き口,Old Spring
古テキア洞窟,Old Tekia Grotto
古テキア洞窟　中心部,Old Tekia Grotto: Central Part
旧地下実験所,Old Underground Laboratory
旧水汲み場,Old Waterhole
老婦,Old Woman
オリバー,Oliver
ウーナ,Oona
オフィリア,Ophelia
オーク,Orc
オーク残党宿営地,Orc Remnants Camp
オルハン,Orhan
オリア,Oria
オズワルド,Oswald
オズワルドの武具店,Oswald's Armor Shop
外に出る,Outside
オーウェン,Owen
牛,Ox
オズギュル,Ozgur
宮殿前広場,Palace Plaza
パメラ,Pamela
パリスハルト,Paris Hart
掘削中の井戸,Partly-Dug Well
パートナーポーン,Partner Pawn
パスカル,Pascal
通りすがりの旅人,Passing Traveler
モローへの小路,Path to Morrow
モローへの小路 船着き場,Path to Morrow Wharf
パトリシア,Patricia
ポール,Paul
ポーラ,Paula
ポーン郷,Pawn Cathedral
ペコ,Peco
行商人,Peddler
行商人の難所,Peddler's Peril
ペドロ,Pedro
ペドロ雑貨店,Pedro's General Store
ペール,Pehr
罪人の修獄,Penitentiary
罪人の修獄　危険区域,Penitentiary: Dangerous Area
亡都の民,People of the Dead City
パーシー,Percy
パーシモン,Persimmon
淀みし大竜力,Phantasmic Great Dragon
フィンダム,Phindym
群像の岩屋,Picturesque Grotto
ピエリ,Pieri
ブタ,Pig
ピレモス旅人宿,Piremoth Traveler's Inn
ピサル,Pisarr
叫びの竪穴,Pit of Screams
叫びの竪穴　危険区域,Pit of Screams: Dangerous Area
ピット,Pitt
ピクシーズキャンプ,Pixies' Camp
平原の廃墟地下室,Plains Abandoned House Cellar
高地のあばら屋,Plateau Shack
プラム,Plum
密猟者のキャンプ,Poachers' Camp
ポー,Poe
詩人,Poet
還れぬ炎の吹き溜まり,Pool of Inextinguishable Flames
捕食者たちの低地,Predators' Lowland
プリースト,Priest
神官,Priest
原初の集落,Primordial settlement
守り人の庵,Protector's Retreat
パブ用ステージ,Pubs' Stage
ポーン会話用ピュア,Pure Pawn
浄水区,Purified Water Section
紫花の園,Purple Flower Garden
サラマンダーコロニー,Pyre Saurian Colony
静穏の隠れ洞,Quiet Concealed Cave
静穏の隠れ洞 洞窟通路,Quiet Concealed Cave: Cave Passage
クインタス,Quintus
ウサギ,Rabbit
ガクシャ,Raksha
腐臭の溜まり場,Rancid Haunt
ランドル,Randolf
ラスニテ納骨廟,Rathnite Columbarium
ラスニテ納骨廟 深層部,Rathnite Columbarium Inner Depths
ラスニテ納骨廟 中央広場,Rathnite Columbarium: Central Square
ラスニテ山麓,Rathnite Foothills
ラスニテ山麓　湖畔部,Rathnite Foothills Lakeside
ラスニテ地下水路,Rathnite Underground Waterway
ラスニテ地下水路 通路,Rathnite Underground Waterway: Passage
ラウル,Raul
ラウル武具工房,Raul's Arms and Armor Workshop
レイベン,Raven
レイ,Ray
レヤ,Ray
レイモンド,Raymond
ラザネイル,Razanailt
再帰の浜辺,Recrudescent Beach
キノザ組合宿　紅水晶亭,Red Crystal Inn
レジーナ,Regina
ライシュ,Reich
宿場区,Relay Station District
レンテン,Renton
水源へ続く地下道,Reservoir Underground Tunnel
安息無き地下水道,Restless Water Channel
安息無き地下水道 深層部,Restless Water Channel Inner Depths
レヴェント,Revento
リアガン,Riagan
リキャルド,Ricardo
リック,Rick
リドリー,Ridley
リングディール,Ringdeel
木漏れ日の川辺,Riverside of Dappled Sunlight
鬼鳴き橋,Roaring Demon Bridge
潮騒洞窟,Roaring Tide Cave
潮騒の隠れ部屋,Roaring Tide Hidden Chamber
ローシェ,Rocher
ロルフ,Rolf
ロンドジール,Rondejeel
ローザ,Rosa
ロス,Ross
ローテス,Rotes
ロスギル,Rothgill
ロスギル兵士,Rothgill Soldier
ロスギル旅人宿,Rothgill Traveler's Inn
ロイ,Roy
王家の隠れ部屋 メガドシス高地,Royal Family's Hidden Chamber (Megadosys Plateau)
王家の隠れ部屋 ウルテカ山岳,Royal Family's Hidden Chamber (Urteca Mountains)
王家の隠れ道,Royal Family's Secret Path
王家の隠れ道 秘密の扉前,Royal Family's Secret Path: Before the Hidden Door
王家の隠れ道 書庫,Royal Family's Secret Path: Library
王家の隠れ道 聖堂,Royal Family's Secret Path: Shrine
王家の隠れ道 宝物庫,Royal Family's Secret Path: Treasury
ルドルフォ,Rudolfo
廃墟の地下室,Ruins Cellar
遺跡の地下室,Ruins Site Cellar
聖炎の参竜道,Sacred Flame Path
聖炎の参竜道 上層,Sacred Flame Path: Upper Level
聖域,Sacred Grounds
聖河の遺跡,Sacred River Ruins
聖河の遺跡　中央通路,Sacred River Ruins Center Passage
聖河の遺跡 船着き場,Sacred River Ruins Wharf
聖河の遺跡　中心部,Sacred River Ruins: Central Part
霊泉のテラス,Sacred Spring Terrace
聖樹のテラス,Sacred Tree Terrace
セイディ,Sadie
聖遺の塔,Sage Tower Ruins
賢者の墓標,Sage's Gravestone
賢者の古井戸,Sage's Old Well
サゴー,Sago
サラミス,Salamis
サリー,Sally
救出ポーン1,Salvage pawn
サマンサ,Samantha
サムエル,Samuel
サーニャ,Sanya
サーラ,Sara
サウザネル侵林,Sauzanel Infected Woods
サーズ・ディナン,Sazu Deenan
怯えた男,Scared Man
おびえた様子の女性,Scared Woman
大地の傷跡,Scarred Earth
スケルツォ,Scherzo
灼熱の封鎖道,Scorching Blocked Passage
灼熱の封鎖道　脇道,Scorching Blocked Passage: Byway
灼熱の封鎖道　危険区域,Scorching Blocked Passage: Dangerous Area
シラ,Scylla
ローテス組合宿　海竜亭,Sea Dragon Inn
シーベル,Seabell
閉ざされた古井戸,Sealed Old Well
封じの玄室,Sealed Sepulcher
ショーン,Sean
海辺の地下室,Seaside Cellar
セバスチャン,Sebastian
第二防衛区画,Second Defense Area
第二の門,Second Gate
セカンドポーン,Second Pawn
第二捕虜収容所,Second Prison Camp
秘弓師の住居,Secret Bowmaker's Home
秘匿の実験場,Secret Proving Ground
秘匿の実験場　危険区域,Secret Proving Ground: Dangerous Area
秘匿の実験場　深層,Secret Proving Ground: Deepest Level
秘匿の実験場　中層,Secret Proving Ground: Middle Level
セダ,Seda
シーカー,Seeker
セリム,Selim
セルマ,Selma
セマ,Sema
セネカ,Seneka
老夫婦,Senior Couple
古参の騎士,Senior Knight
セラ,Sera
セレア,Serea
セリク,Serik
セリン,Serine
シェドレアン大神殿,Shadolean Great Temple
闇に覆われる前のシェドレアン大神殿,"Shadolean Great Temple, Unshrouded"
シェドレアン大神殿　最奥前,Shadolean Great Temple: Before Innermost
シェドレアン大神殿　中央部,Shadolean Great Temple: Center
シェドレアン大神殿　宝物庫,Shadolean Great Temple: Treasury
闇の将,Shadow Master
シャロム,Shalom
シーラ,Sheelah
シェケル,Shekel
甲竜の湿原,Shell Dragon's Bog
シェリー,Shelly
セム,Shem
シェナ,Shena
シェナイ,Shenai
シェリン,Sheryn
シールドセージ,Shield Sage
彩光の滝,Shimmering Waterfall
商店区,Shopping District
商店区 裏通り,Shopping District Alley
戦練の社,Shrine of Combat
戦練の社 最奥,Shrine of Combat: Deepest Depths
戦練の社 不死の路,Shrine of Combat: Immortal Road
戦練の社 自然の路,Shrine of Combat: Nature's Path
戦練の社 霊の路,Shrine of Combat: Spirit Path
怨嗟の祠,Shrine of Resentment
劫炎の祠堂,Shrine of the Eternal Blaze
劫炎の祠堂 脇道,Shrine of the Eternal Blaze: Byway
ポーン会話用シャイ,Shy Pawn
シディカ,Sidika
静かな抗戦跡,Silent Resistance Battle Site
銀隠者の根城,Silver Hermit's Stronghold
ジンゲン組合宿　風啼き亭,Singing Winds Inn
シスレー,Sisley
スケルトン,Skeleton
空望広場,Skygazing Spot
ドラワン組合宿　眠り狼亭,Sleeping Wolf Inn
スライ,Sly
死者の小窟,Small Cave Tombs
知恵の小塔,Small Tower of Wisdom
ポーン会話用スマート,Smart Pawn
鍛冶職人,Smith
戦士,Soldier
兵士詰所,Soldier Station
ソネル,Sonel
ソニア,Sonia
ソーニャ,Sonya
ソーサラー,Sorcerer
魔術師,Sorcerer
スーレ,Soule
ブリア海岸 南側,South Breya Coast
南ハイデル大橋,South Hidell Bridge
暗黒の統べる地　南端,South Land of Darkness
南メルゴダ遺跡群,South Mergoda Ruins
南壁のひび,Southern Wall Fissure
南壁谷の道,Southern Wall Gorge
術師の取引所,Specialist Trading Post
武霊の庵,Spirit Arts Hut
精霊竜セシリー,Spirit Dragon Cecily
精霊竜ウィルミア,Spirit Dragon Willmia
精霊竜のねぐら,Spirit Dragon's Roost
スピリットランサー,Spirit Lancer
豊穣の泉,Spring of Abundance
癒しの泉,Spring of Healing
活力の泉,Spring of Vitality
隊将ドワーフオーク,Squad Leader Dwarf Orc
スターク,Stark
不気味な男,Strange Man
野良ポーン1,Stray pawn
流水の小路,Stream Alley
立ち病みの森,Suffering Forest
スレイマン,Suleiman
サリヴァン,Sullivan
山頂の小堂,Summit Chapel
スニーカー,Sunika
陽射す地下洞,Sunlit Underground Cave
サニー,Sunny
斜陽のテラス,Sunset Terrace
食糧庫,Supply Store
廃墟の食糧庫,Supply Store Ruins
スラボ,Surabo
スローニャ,Suronya
スザンナ,Susanna
怪しいゴブリン,Suspicious Goblin
スヴェン,Sven
タバサ,Tabitha
タルコット,Talcott
タネル,Tanel
タリーエの小塔,Tarie Small Tower
酒場,Tavern
酒場の女,Tavern Woman
テッド,Ted
テゴル治水路,Tegor Flood Control Channel
テゴル川,Tegor River
テル,Tel
テルの枯れ井戸,Tel's Withered Well
神殿女：予備枠,Temple Bystander
禊の神殿,Temple of Purification
禊の神殿 湖畔,Temple of Purification Lakeside
禊の神殿　離殿,Temple of Purification: South Chamber
テントの抜け道,Tent's Secret Path
ターグ,Terg
タラーテ集水路,Thalati Waterway
タラーテ集水路　中央通路,Thalati Waterway Central Passage
タラーテ集水路　最深部,Thalati Waterway Innermost Depths
タラーテ集水路　危険区域,Thalati Waterway: Dangerous Area
ターレス,Thales
アーク,The Ark
アーク　裏層,The Ark's Lower Level
アーク　裏層　危険区域,The Ark's Lower Level: Dangerous Area
アーク　裏層　貯蔵所,The Ark's Lower Level: Storage
アーク　裏層　宝物庫,The Ark's Lower Level: Treasury
黒狼団のアジト,The Black Wolves' Hideout
悼まれぬ者の葬室,The Burial Chamber of the Unmourned
悼まれぬ者の葬室 最深部,The Burial Chamber of the Unmourned Innermost Depths
悼まれぬ者の葬室 不死者の房,The Burial Chamber of the Unmourned: Cell of the Immortals
悼まれぬ者の葬室　火炎体の巣窟,The Burial Chamber of the Unmourned: Funeral Pyre
悪しき竜,The Evil Dragon
異人の洞窟,The Foreigner's Cave
異人の遺跡,The Foreigner's Remains
異人の塔,The Foreigner's Tower
異人の地下墓所,The Foreigner's Underground Tomb
巨鷲の宝物溜め,The Giant Eagle's Treasure Hoard
巨人の寝床,The Giant's Bed
黄金宮,The Golden Palace
遠吠えの前線,The Howling Front
隠匿の王間,The King's Room of Concealment
豚喰いのねぐら,The Pig-Eater's Den
異界の狭間,The Rift
異界の狭間　深層部,The Rift's Inner Depths
異界の狭間・深層部　左淵,The Rift's Inner Depths: Left Pool
異界の狭間・深層部　右淵,The Rift's Inner Depths: Right Pool
唸り猿の縄張り,The Roaring Ape's Territory
王家の墓,The Royal Family Mausoleum
第二のアーク,The Second Ark
歌姫の崖座,The Songstress' Cliff Perch
囚われし戦徒の間,The Space between Captives and Myrmidons
第三のアーク,The Third Ark
橋向かいの坑道,The Tunnel across the Bridge
橋向かいの坑道　危険区域,The Tunnel across the Bridge: Dangerous Area
橋向かいの坑道　広間,The Tunnel across the Bridge: Hall
橋向かいの坑道　鍾乳洞,The Tunnel across the Bridge: Limestone Cave
橋向かいの坑道　鉱石路,The Tunnel across the Bridge: Ore Path
白竜,The White Dragon
白竜神殿レーゼ,The White Dragon Temple
白竜神殿,The White Dragon Temple
白竜神殿レーゼ（中央広場）,The White Dragon Temple (Central Square)
白竜神殿レーゼ（大門前）,The White Dragon Temple (Front Gate)
テア,Thea
テオドール,Theodor
テオドール錬金工房,Theodor's Alchemy Workshop
トマス,Thomas
トマソン,Thomason
トリン,Thorin
ゴロツキ,Thug
ゴロツキリーダー,Thug Leader
轟咆洞,Thundering Roar Cave
轟咆洞 深層部,Thundering Roar Cave Inner Depths
轟咆洞 脇道,Thundering Roar Cave: Byway
ティメル,Timel
トビアス,Tobias
トビー,Toby
トニオ,Tonio
トレアサ,Toreasa
トロッガ,Torogga
イヴァノスの塔,Tower of Ivanos
トユガル,Toyugaru
エルセン商会,Trading Company
修練の祠,Training Chapel
鍛練の小部屋,Training Room
旅人,Traveler
旅の女性ハンター,Traveling Female Hunter
トラバース,Travers
眺樹の丘,Tree Hill View
喧噪の跡地,Tumult Site
双輪の谷,Twin Wheel Valley
ウガウ,Ugau
ウルタ古水路,Ulta Ancient Watercourse
ウルタ古水路 通路,Ulta Ancient Watercourse: Passage
ウルタン,Ultan
地下納骨堂,Underground Crypt
地下通用口,Underground Side Entrance
地下倉庫,Underground Stores
ウルダ,Urda
ウルテカ山岳,Urteca Mountains
欠緑の林,Vacant Green Forest
渓谷の小堂,Valley Chapel
ヴァルテブル・ホール,Valtable Hall
